,F1 score,AP withdrawn,AP approved,AUROC withdrawn,Balanced accuracy,Precision withdrawn,Recall withdrawn,Precision approved,Recall approved,True positives,True negatives,False positives,False negatives
C,0.1818181818181818,0.1627264239028945,0.8937175067759308,0.47179487179487184,0.5358974358974359,0.16666666666666666,0.2,0.8947368421052632,0.8717948717948718,1.0,34.0,5.0,4.0
N,0.37499999999999994,0.38159227461929407,0.7363411716141169,0.7087198515769945,0.6159554730983302,0.6,0.2727272727272727,0.8545454545454545,0.9591836734693877,3.0,47.0,2.0,8.0
M,0.4615384615384615,0.26666666666666666,0.8514757464757464,0.4666666666666667,0.65,0.3,1.0,1.0,0.3,3.0,3.0,7.0,0.0
G,0.0,0.1,0.9648015050960299,0.5263157894736843,0.47368421052631576,0.0,0.0,0.9473684210526315,0.9473684210526315,0.0,18.0,1.0,1.0
L,0.0,0.2,0.952008754949591,0.9090909090909091,0.5,0.0,0.0,0.9777777777777777,1.0,0.0,44.0,0.0,1.0
A,0.4,0.29166666666666663,0.8736396268233493,0.8333333333333334,0.7083333333333333,0.3333333333333333,0.5,0.9565217391304348,0.9166666666666666,1.0,22.0,2.0,1.0
D,0.0,0.13703703703703704,0.9364947450636311,0.4821428571428571,0.44642857142857145,0.0,0.0,0.9259259259259259,0.8928571428571429,0.0,25.0,3.0,2.0
S,0.5,0.5,0.9010452966194128,0.9565217391304348,0.9565217391304348,0.3333333333333333,1.0,1.0,0.9130434782608695,1.0,21.0,2.0,0.0
J,0.0,0.30952380952380953,0.9018407299522089,0.9186046511627907,0.4883720930232558,0.0,0.0,0.9545454545454546,0.9767441860465116,0.0,42.0,1.0,2.0
R,0.4,0.5580357142857143,0.7409453473064826,0.7125,0.625,1.0,0.25,0.8695652173913043,1.0,1.0,20.0,0.0,3.0
