,0,1,2,3,4,5,6,7,8,9,mean_average_precision,mean_auroc
J,bond:CC(=O)C_ketone_generic,ring:aromatic_phenyl,ring:hetero__5__Z_1_3-Z,chain:alkaneCyclic_hexyl_C6,bond:CS_sulfide,bond:C(=O)O_carboxylicAcid_alkyl,ring:hetero__5__Z_1-Z,bond:COC_ether_aliphatic__aromatic,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd,0.3897123664280526,0.6969170875420875
A,bond:COH_alcohol_sec-alkyl,ring:aromatic_benzene,bond:COH_alcohol_pri-alkyl,bond:CN_amine_pri-NH2_generic,group:ligand_path_4_bidentate_aminoethanol,bond:COH_alcohol_aromatic_phenol,ring:hetero__6__Z_1_3-,chain:alkeneCyclic_ethene_generic,bond:CS_sulfide,bond:COC_ether_aliphatic,0.37506602433113684,0.7291666666666666
G,bond:C(=O)N_carboxamide_generic,bond:NC=O_aminocarbonyl_generic,chain:alkaneBranch_isopropyl_C3,bond:CX_halide_aromatic-X_generic,ring:hetero__5__Z_1_3-Z,group:aminoAcid_aminoAcid_generic,ring:hetero__6__Z_1-,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:alkaneLinear_propyl_C3,ring:hetero__5__Z_1-Z,0.15479497354497354,0.40432098765432095
S,chain:alkaneBranch_neopentyl_C5,chain:alkaneCyclic_pentyl_C5,ring:hetero__5__Z_1_3-Z,chain:alkeneCyclic_ethene_C_(connect_noZ),bond:CC(=O)C_ketone_aliphatic_generic,bond:CN_amine_aromatic_generic,chain:alkeneCyclic_ethene_generic,bond:CN_amine_pri-NH2_generic,bond:CN_amine_ter-N_generic,bond:COH_alcohol_pri-alkyl,0.1832656122058296,0.4169071669071669
N,bond:CS_sulfide,bond:COH_alcohol_sec-alkyl,bond:C(=O)O_carboxylicEster_alkyl,chain:alkaneLinear_propyl_C3,ring:hetero__6__Z_1_3-,ring:aromatic_benzene,group:ligand_path_4_bidentate_aminoethanol,bond:C(=O)N_carboxamide_(NR2),bond:CN_amine_sec-NH_generic,chain:alkeneCyclic_ethene_generic,0.18071418868433645,0.5154503105590061
C,ring:aromatic_benzene,ring:hetero__6_6__Z_generic,chain:alkaneCyclic_pentyl_C5,bond:CX_halide_aromatic-X_generic,bond:COC_ether_aliphatic__aromatic,bond:CC(=O)C_ketone_generic,bond:COH_alcohol_aliphatic_generic,chain:alkaneLinear_propyl_C3,ring:aromatic_phenyl,bond:COH_alcohol_aromatic,0.25343537635204305,0.59194890077243
R,bond:CC(=O)C_ketone_generic,chain:alkeneCyclic_ethene_generic,bond:CX_halide_aromatic-X_generic,chain:alkaneCyclic_ethyl_C2_(connect_noZ),bond:CN_amine_ter-N_aliphatic,chain:alkaneLinear_propyl_C3,ring:hetero__5__Z_1-Z,bond:X_any__halide,bond:CN_amine_aliphatic_generic,ring:hetero__5__Z_1_3-Z,0.18673354387868457,0.44775132275132273
M,ring:aromatic_benzene,chain:alkaneBranch_isopropyl_C3,bond:COH_alcohol_aliphatic_generic,bond:CX_halide_aromatic-X_generic,chain:aromaticAlkane_Ph-C1_acyclic_generic,bond:CN_amine_aliphatic_generic,bond:C(=O)N_carboxamide_generic,bond:C(=O)O_carboxylicEster_alkyl,bond:CS_sulfide,chain:alkeneCyclic_ethene_generic,0.53377849002849,0.6636363636363636
L,bond:CN_amine_aliphatic_generic,bond:CN_amine_ter-N_aliphatic,ring:hetero__5_6__Z_generic,ring:hetero__5__Z_1-Z,bond:COC_ether_aliphatic,bond:COC_ether_aliphatic__aromatic,bond:COH_alcohol_sec-alkyl,bond:CN_amine_aromatic_generic,ring:hetero__6__N_pyridine_generic,ring:hetero__6__Z_1_3-,0.17007392933863522,0.5826210826210826
D,chain:alkaneCyclic_pentyl_C5,ring:hetero__5_6__Z_generic,bond:CN_amine_ter-N_aliphatic,bond:COC_ether_aliphatic,ring:hetero__6__N_pyridine_generic,bond:COH_alcohol_aromatic,bond:COH_alcohol_aliphatic_generic,bond:COH_alcohol_pri-alkyl,bond:COH_alcohol_sec-alkyl,chain:alkaneCyclic_hexyl_C6,0.1380151588168666,0.5108100711548987
P,bond:C(=O)N_carboxamide_generic,bond:COH_alcohol_aromatic,ring:hetero__6__Z_1-,chain:alkaneCyclic_ethyl_C2_(connect_noZ),bond:COH_alcohol_aromatic_phenol,bond:CX_halide_aromatic-X_generic,bond:NC=O_aminocarbonyl_generic,chain:alkaneLinear_ethyl_C2(H_gt_1),ring:aromatic_phenyl,ring:hetero__5__Z_1-Z,0.2708333333333333,0.43452380952380953
