,Significance,N samples,Single predictions,Double predictions,Non predictions,Single correct,Single correct rate,Single correct approved,Single correct withdrawn
0,1.0,395,0,395,0,0,0.0,0,0
1,0.95,395,24,371,0,20,0.8333333333333334,18,2
2,0.9,395,71,324,0,57,0.8028169014084507,51,6
3,0.85,395,130,265,0,106,0.8153846153846154,97,9
4,0.8,395,188,207,0,150,0.7978723404255319,134,16
5,0.75,395,237,158,0,185,0.7805907172995781,167,18
6,0.7,395,287,108,0,213,0.7421602787456446,193,20
7,0.6499999999999999,395,338,57,0,241,0.7130177514792899,220,21
8,0.6,395,381,3,11,260,0.6824146981627297,235,25
9,0.55,395,332,0,63,234,0.7048192771084337,213,21
10,0.5,395,289,0,106,214,0.740484429065744,195,19
11,0.44999999999999996,395,247,0,148,190,0.7692307692307693,172,18
12,0.3999999999999999,395,207,0,188,165,0.7971014492753623,147,18
13,0.35,395,157,0,238,128,0.8152866242038217,115,13
14,0.29999999999999993,395,123,0,272,102,0.8292682926829268,94,8
15,0.25,395,86,0,309,70,0.813953488372093,65,5
16,0.19999999999999996,395,57,0,338,49,0.8596491228070176,45,4
17,0.1499999999999999,395,32,0,363,27,0.84375,24,3
18,0.09999999999999998,395,15,0,380,13,0.8666666666666667,12,1
19,0.04999999999999993,395,7,0,388,7,1.0,7,0
