,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,395,0.2285714285714286,0.25284488945712247,0.8243901288218254,0.7403196913325065,0.5678999586606036,0.27586206896551724,0.1951219512195122,0.9098360655737705,0.940677966101695,8,333,21,33
1,0.95,386,0.2285714285714286,0.25284488945712247,0.8225445819558381,0.7335454224107458,0.5671261930010605,0.27586206896551724,0.1951219512195122,0.907563025210084,0.9391304347826087,8,324,21,33
2,0.9,366,0.2285714285714286,0.25284488945712247,0.8183272206378895,0.7171482176360224,0.5652532833020638,0.27586206896551724,0.1951219512195122,0.9020771513353115,0.9353846153846154,8,304,21,33
3,0.85,333,0.2285714285714286,0.2530109998634163,0.8108848472791884,0.686602071500167,0.561602071500167,0.27586206896551724,0.1951219512195122,0.8914473684210527,0.928082191780822,8,271,21,33
4,0.8,296,0.2285714285714286,0.2537108201773073,0.8016544159063095,0.6467718794835007,0.5563845050215208,0.27586206896551724,0.1951219512195122,0.8764044943820225,0.9176470588235294,8,234,21,33
5,0.75,261,0.23529411764705882,0.2597982067272424,0.7929664094541915,0.6327096327096328,0.5552668052668053,0.27586206896551724,0.20512820512820512,0.8663793103448276,0.9054054054054054,8,201,21,31
6,0.7,220,0.253968253968254,0.2739415124989184,0.7835197788699005,0.6505376344086022,0.5611954459203036,0.27586206896551724,0.23529411764705882,0.8638743455497382,0.8870967741935484,8,165,21,26
7,0.6499999999999999,187,0.2580645161290323,0.2800364195980741,0.7696826401775236,0.6196379378197561,0.553030303030303,0.27586206896551724,0.24242424242424243,0.8417721518987342,0.8636363636363636,8,133,21,25
8,0.6,156,0.27586206896551724,0.292110731905327,0.7601404273378809,0.6220472440944882,0.5552538691284279,0.27586206896551724,0.27586206896551724,0.8346456692913385,0.8346456692913385,8,106,21,21
9,0.55,129,0.29090909090909095,0.30490757430945836,0.7474624515385333,0.6191187453323376,0.5519044062733383,0.27586206896551724,0.3076923076923077,0.82,0.7961165048543689,8,82,21,18
10,0.5,100,0.32653061224489793,0.32898215337702064,0.7380609775685856,0.665625,0.5687500000000001,0.27586206896551724,0.4,0.8309859154929577,0.7375,8,59,21,12
11,0.44999999999999996,77,0.3333333333333333,0.33440288347939906,0.7222621624202644,0.5762250453720508,0.529491833030853,0.27586206896551724,0.42105263157894735,0.7708333333333334,0.6379310344827587,8,37,21,11
12,0.3999999999999999,57,0.36363636363636365,0.3498470840924802,0.7167118461825435,0.553968253968254,0.5166666666666666,0.27586206896551724,0.5333333333333333,0.75,0.5,8,21,21,7
13,0.35,45,0.4,0.388220037659445,0.6814758373009254,0.5368663594470047,0.49539170506912444,0.3076923076923077,0.5714285714285714,0.6842105263157895,0.41935483870967744,8,13,18,6
14,0.29999999999999993,34,0.4242424242424242,0.39496904718000053,0.6892707717645943,0.4980237154150198,0.49209486166007904,0.3181818181818182,0.6363636363636364,0.6666666666666666,0.34782608695652173,7,8,15,4
15,0.25,14,0.4444444444444444,0.5047619047619047,0.650937025937026,0.5777777777777778,0.4,0.3076923076923077,0.8,0.0,0.0,4,0,9,1
16,0.19999999999999996,7,0.6,0.5888888888888889,0.6428571428571428,0.6666666666666666,0.5,0.42857142857142855,1.0,0.0,0.0,3,0,4,0
