,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,390,0.2777777777777778,0.3078726168135636,0.8116434713972257,0.7541407505765603,0.5918652596268084,0.3225806451612903,0.24390243902439024,0.9136490250696379,0.9398280802292264,10,328,21,31
1,0.95,374,0.2777777777777778,0.3078726168135636,0.8077443043818293,0.7423276935472057,0.5904196879806636,0.3225806451612903,0.24390243902439024,0.9096209912536443,0.9369369369369369,10,312,21,31
2,0.9,346,0.2777777777777778,0.3079413565190482,0.8004772941701919,0.7192323070771691,0.5875249900039984,0.3225806451612903,0.24390243902439024,0.9015873015873016,0.9311475409836065,10,284,21,31
3,0.85,312,0.28169014084507044,0.31264503680965633,0.7910836414679506,0.7046874999999999,0.5863970588235294,0.3225806451612903,0.25,0.8932384341637011,0.9227941176470589,10,251,21,30
4,0.8,275,0.2898550724637681,0.32226731494182465,0.7797625406242732,0.6994226071507883,0.5872751499000666,0.3225806451612903,0.2631578947368421,0.8852459016393442,0.9113924050632911,10,216,21,28
5,0.75,250,0.2941176470588235,0.3285062609724081,0.7698896749480943,0.6920441568328892,0.5858393604872478,0.3225806451612903,0.2702702702702703,0.8767123287671232,0.9014084507042254,10,192,21,27
6,0.7,209,0.29850746268656714,0.3360487415700741,0.7509878292863885,0.6551059730250481,0.5781952472703917,0.3225806451612903,0.2777777777777778,0.8539325842696629,0.8786127167630058,10,152,21,26
7,0.6499999999999999,175,0.3174603174603175,0.35484608331883927,0.7366616581198369,0.6623688811188811,0.5828234265734266,0.3225806451612903,0.3125,0.8472222222222222,0.8531468531468531,10,122,21,22
8,0.6,142,0.33333333333333337,0.3729007531848218,0.7164871554113155,0.6509002136100092,0.5794934391211475,0.3225806451612903,0.3448275862068966,0.8288288288288288,0.8141592920353983,10,92,21,19
9,0.55,108,0.3636363636363636,0.3998363869529261,0.6972758809884487,0.6433531746031745,0.5833333333333334,0.3225806451612903,0.4166666666666667,0.8181818181818182,0.75,10,63,21,14
10,0.5,81,0.39999999999999997,0.4445853106782279,0.6696575851053128,0.7028862478777589,0.5938030560271647,0.3225806451612903,0.5263157894736842,0.82,0.6612903225806451,10,41,21,9
11,0.44999999999999996,58,0.41666666666666663,0.4613088947580623,0.63765190836064,0.6197991391678622,0.5380200860832138,0.3225806451612903,0.5882352941176471,0.7407407407407407,0.4878048780487805,10,20,21,7
12,0.3999999999999999,41,0.4444444444444444,0.48130788380334666,0.61136032251546,0.49999999999999994,0.4487179487179487,0.3333333333333333,0.6666666666666666,0.5454545454545454,0.23076923076923078,10,6,20,5
13,0.35,34,0.5,0.517827920309538,0.5963496909759805,0.5719696969696969,0.5075757575757576,0.35714285714285715,0.8333333333333334,0.6666666666666666,0.18181818181818182,10,4,18,2
14,0.29999999999999993,24,0.5,0.5889368307131464,0.580050246446506,0.6796875,0.5,0.3333333333333333,1.0,0.0,0.0,8,0,16,0
15,0.25,14,0.6666666666666666,0.642940392940393,0.5038548752834467,0.5510204081632653,0.5,0.5,1.0,0.0,0.0,7,0,7,0
16,0.19999999999999996,9,0.7142857142857143,0.6944444444444444,0.4928571428571429,0.49999999999999994,0.5,0.5555555555555556,1.0,0.0,0.0,5,0,4,0
