,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,394,0.2608695652173913,0.30479335318039047,0.8128055333903716,0.7660471222275962,0.5828439162578595,0.32142857142857145,0.21951219512195122,0.912568306010929,0.9461756373937678,9,334,19,32
1,0.95,375,0.2608695652173913,0.3048345237417922,0.8081780225145139,0.7531035489995619,0.5813129837885206,0.32142857142857145,0.21951219512195122,0.9077809798270894,0.9431137724550899,9,315,19,32
2,0.9,338,0.2647058823529412,0.30949295908967234,0.7988107403129909,0.7419463087248322,0.5806208053691275,0.32142857142857145,0.225,0.9,0.9362416107382551,9,279,19,31
3,0.85,306,0.2647058823529412,0.30962335264111845,0.7894177860635747,0.7119360902255639,0.5767857142857143,0.32142857142857145,0.225,0.8884892086330936,0.9285714285714286,9,247,19,31
4,0.8,278,0.2647058823529412,0.3098046176116629,0.7805626247259235,0.6795168067226891,0.5725840336134453,0.32142857142857145,0.225,0.876,0.9201680672268907,9,219,19,31
5,0.75,249,0.2647058823529412,0.3106797382029669,0.7702985794450472,0.6411483253588517,0.5670454545454545,0.32142857142857145,0.225,0.8597285067873304,0.9090909090909091,9,190,19,31
6,0.7,224,0.28125000000000006,0.3263510455202557,0.7633129696559114,0.6682919621749408,0.574468085106383,0.32142857142857145,0.25,0.8622448979591837,0.898936170212766,9,169,19,27
7,0.6499999999999999,199,0.2857142857142857,0.33135249538820455,0.7526944838304102,0.6428571428571428,0.5706445993031359,0.32142857142857145,0.2571428571428571,0.847953216374269,0.8841463414634146,9,145,19,26
8,0.6,167,0.2950819672131148,0.34378518526876456,0.7352284723465046,0.6241519674355496,0.5654681139755766,0.32142857142857145,0.2727272727272727,0.8273381294964028,0.8582089552238806,9,115,19,24
9,0.55,133,0.32727272727272727,0.37368970944522667,0.7193724569465757,0.660377358490566,0.5770440251572327,0.32142857142857145,0.3333333333333333,0.8285714285714286,0.8207547169811321,9,87,19,18
10,0.5,103,0.35294117647058826,0.3953912120021589,0.7015207068735833,0.6510869565217391,0.5769021739130434,0.32142857142857145,0.391304347826087,0.8133333333333334,0.7625,9,61,19,14
11,0.44999999999999996,83,0.375,0.4176250770514849,0.6849110937587739,0.65,0.5742063492063492,0.32142857142857145,0.45,0.8,0.6984126984126984,9,44,19,11
12,0.3999999999999999,60,0.3829787234042553,0.43795859205574944,0.6491446702908871,0.5532734274711167,0.5051347881899871,0.32142857142857145,0.47368421052631576,0.6875,0.5365853658536586,9,22,19,10
13,0.35,45,0.41860465116279066,0.4641559813225517,0.6404904630761963,0.5244444444444444,0.4833333333333333,0.32142857142857145,0.6,0.6470588235294118,0.36666666666666664,9,11,19,6
14,0.29999999999999993,29,0.4571428571428572,0.5415405219326788,0.6294970703429533,0.5944444444444444,0.4944444444444444,0.3076923076923077,0.8888888888888888,0.6666666666666666,0.1,8,2,18,1
15,0.25,23,0.5333333333333333,0.591166481544771,0.5908223002724281,0.6166666666666667,0.5333333333333333,0.36363636363636365,1.0,1.0,0.06666666666666667,8,1,14,0
16,0.19999999999999996,13,0.5882352941176471,0.706060606060606,0.5514766483516483,0.625,0.5625,0.4166666666666667,1.0,1.0,0.125,5,1,7,0
