,Significance,N samples,Single predictions,Double predictions,Non predictions,Single correct,Single correct rate,Single correct approved,Single correct withdrawn
0,0.0,395,0,394,0,0,0.0,0,0
1,0.05,395,12,383,0,10,0.8333333333333334,6,4
2,0.1,395,43,352,0,35,0.813953488372093,29,6
3,0.15000000000000002,395,96,299,0,75,0.78125,64,11
4,0.2,395,140,255,0,109,0.7785714285714286,95,14
5,0.25,395,193,202,0,140,0.7253886010362695,125,15
6,0.30000000000000004,395,256,139,0,178,0.6953125,160,18
7,0.35000000000000003,395,318,77,0,217,0.6823899371069182,197,20
8,0.4,395,377,18,0,253,0.6710875331564987,226,27
9,0.45,395,350,0,45,238,0.68,214,24
10,0.5,395,290,0,105,199,0.6862068965517242,180,19
11,0.55,395,232,0,163,168,0.7241379310344828,151,17
12,0.6000000000000001,395,181,0,214,132,0.7292817679558011,117,15
13,0.65,395,140,0,255,111,0.7928571428571428,97,14
14,0.7000000000000001,395,105,0,290,85,0.8095238095238095,73,12
15,0.75,395,69,0,326,58,0.8405797101449275,50,8
16,0.8,395,39,0,356,33,0.8461538461538461,28,5
17,0.8500000000000001,395,21,0,374,18,0.8571428571428571,14,4
18,0.9,395,7,0,388,7,1.0,5,2
19,0.9500000000000001,395,2,0,393,2,1.0,2,0
