,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,395,0.11764705882352941,0.21784565930030483,0.8443631027890799,0.6554361306324927,0.526698360203941,0.3,0.07317073170731707,0.9012987012987013,0.980225988700565,3,347,7,38
1,0.95,382,0.12244897959183675,0.223566128986816,0.8427776792305115,0.6770576362413097,0.5282574568288854,0.3,0.07692307692307693,0.9032258064516129,0.9795918367346939,3,336,7,36
2,0.9,351,0.125,0.2266756217126426,0.8377432404687292,0.6646208172187658,0.5282915755843283,0.3,0.07894736842105263,0.8973607038123167,0.9776357827476039,3,306,7,35
3,0.85,322,0.13043478260869565,0.2329004532405111,0.8329762359828279,0.6688034188034189,0.5294289044289044,0.3,0.08333333333333333,0.8942307692307693,0.9755244755244755,3,279,7,33
4,0.8,280,0.13043478260869565,0.23340387264850093,0.8242844401424333,0.616575591985428,0.5273224043715847,0.3,0.08333333333333333,0.8777777777777778,0.9713114754098361,3,237,7,33
5,0.75,251,0.13953488372093023,0.2433141551272432,0.8181384770613922,0.6341395607450654,0.5293994995829858,0.3,0.09090909090909091,0.8755186721991701,0.9678899082568807,3,211,7,30
6,0.7,214,0.14634146341463414,0.25081095435632195,0.8089944046624771,0.6107879428873612,0.5292614137140842,0.3,0.0967741935483871,0.8627450980392157,0.9617486338797814,3,176,7,28
7,0.6499999999999999,187,0.15789473684210525,0.2570026072845758,0.8065336054778591,0.5880503144654088,0.5315588499550764,0.3,0.10714285714285714,0.8587570621468926,0.9559748427672956,3,152,7,25
8,0.6,160,0.16216216216216217,0.26234432330739305,0.7979134810262196,0.5402394876079086,0.5292397660818713,0.3,0.1111111111111111,0.84,0.9473684210526315,3,126,7,24
9,0.55,124,0.19354838709677416,0.2877009695975796,0.7885591243606037,0.5626444752658345,0.5374479889042996,0.3,0.14285714285714285,0.8421052631578947,0.9320388349514563,3,96,7,18
10,0.5,100,0.2,0.29737825453382133,0.7752138736163927,0.493125,0.53125,0.3,0.15,0.8111111111111111,0.9125,3,73,7,17
11,0.44999999999999996,83,0.22222222222222224,0.32216585503280637,0.7604699209288488,0.5204991087344029,0.535204991087344,0.3,0.17647058823529413,0.8082191780821918,0.8939393939393939,3,59,7,14
12,0.3999999999999999,62,0.28571428571428564,0.38410034502110535,0.7509990507446791,0.6434937611408199,0.5677361853832442,0.3,0.2727272727272727,0.8461538461538461,0.8627450980392157,3,44,7,8
13,0.35,44,0.3529411764705882,0.492339208410637,0.7282919767589376,0.8455598455598456,0.6196911196911197,0.3,0.42857142857142855,0.8823529411764706,0.8108108108108109,3,30,7,4
14,0.29999999999999993,31,0.37499999999999994,0.5014790764790764,0.7054673691014512,0.7933333333333332,0.61,0.3,0.5,0.8571428571428571,0.72,3,18,7,3
15,0.25,23,0.4,0.5249028749028749,0.6562356379549334,0.7352941176470588,0.5735294117647058,0.3333333333333333,0.5,0.7857142857142857,0.6470588235294118,3,11,6,3
16,0.19999999999999996,13,0.4615384615384615,0.5638888888888889,0.6114739427239427,0.575,0.4875,0.375,0.6,0.6,0.375,3,3,5,2
