,Identifier,smiles,withdrawn
0,DB00007,C(=O)(N1[C@H](C(=O)NCC)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)CC(C)C)CC(C)C)CCCNC(=N)N,0
1,DB00014,C(=O)(N1[C@H](C(=O)NNC(=O)N)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2NC(=O)CC2)Cc3cnc[nH]3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)COC(C)(C)C)CC(C)C)CCCN=C(N)N,0
2,DB00035,C(=O)(N1[C@H](C(=O)N[C@@H](C(=O)NCC(=O)N)CCCNC(=N)N)CCC1)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CCSSC2)Cc3ccc(O)cc3)Cc4ccccc4)CCC(=O)N)CC(=O)N,0
3,DB00050,C(=O)(N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C)Cc2cc3c(cc2)cccc3)Cc4ccc(Cl)cc4)Cc5cnccc5)CO)Cc6ccc(O)cc6)CCCNC(=O)N)CC(C)C)CCCNC(=N)N,0
4,DB00067,C(=O)(N1[C@H](C(=O)N[C@H](C(=O)NCC(=O)N)CCCNC(=N)N)CCC1)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CSSC2)Cc3ccc(O)cc3)Cc4ccccc4)CCC(=O)N)CC(=O)N,0
5,DB00080,C(=O)(c1c(cccc1)N)C[C@H]2C(=O)O[C@@H]([C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C(=O)N2)[C@@H](CC(=O)O)C)CO)CC(=O)O)C)CC(=O)O)CCCN)NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)CCCCCCCCC)Cc3c4c(cccc4)[nH]c3)CC(=O)N)CC(=O)O)C,0
6,DB00091,O=C1N([C@H](C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H]1C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)CC)[C@@H]([C@@H](C/C=C/C)C)O)C,0
7,DB00104,C(=O)([C@@H](Cc1ccccc1)N)N[C@@H]2C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]([C@H](O)C)CO)CSSC2)[C@H](O)C)CCCCN)Cc3c4c(cccc4)[nH]c3)Cc5ccccc5,0
8,DB00106,C(N([C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C)Cc3cc4c(cc3)cccc4)Cc5ccc(Cl)cc5)Cc6cnccc6)CO,1
9,DB00114,O=P(OCc1c(c(c(nc1)C)O)C=O)(O)O,0
10,DB00115,C(#N)[Co+]N1/C2=C(\C3[C@]([C@@H](/C(/N=3)=C/C4C([C@@H](/C(=C(/C5[C@@]([C@H]([C@H]([C@]1([C@]([C@@H]\2CCC(=O)N)(CC(=O)N)C)C)N=5)CC(=O)N)(CCC(=O)NC[C@H](OP(=O)(O[C@H]6[C@@H](O)[C@@H](n7c8c(nc7)cc(c(c8)C)C)O[C@@H]6CO)[O-])C)C)\C)/N=4)CCC(=O)N)(C)C)CCC(=O)N)(CC(=O)N)C)/C,0
11,DB00118,C(=O)([O-])[C@H](CC[S+](C[C@H]1O[C@@H](n2c3c(c(ncn3)N)nc2)[C@H](O)[C@@H]1O)C)N,0
12,DB00119,C(C(=O)C)(=O)O,0
13,DB00120,C(=O)([C@H](Cc1ccccc1)N)O,0
14,DB00121,C(=O)(O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,0
15,DB00122,[N+](CCO)(C)(C)C,0
16,DB00123,C(=O)([C@H](CCCCN)N)O,0
17,DB00126,O=C1C(=C(O)[C@H](O1)[C@@H](O)CO)O,0
18,DB00128,C(=O)([C@H](CC(=O)O)N)O,0
19,DB00129,C(=O)([C@H](CCCN)N)O,0
20,DB00130,C(=O)([C@H](CCC(=O)N)N)O,0
21,DB00131,O=P(OC[C@H]1O[C@@H](n2c3c(c(ncn3)N)nc2)[C@H](O)[C@@H]1O)(O)O,0
22,DB00132,C(=O)(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,0
23,DB00135,C(=O)([C@H](Cc1ccc(O)cc1)N)O,0
24,DB00136,C(O)(CCC[C@H]([C@@H]1[C@@]2([C@H](/C(=C/C=C3\C([C@@H](O)C[C@H](O)C\3)=C)/CCC2)CC1)C)C)(C)C,0
