,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
0,C(=O)(OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-])CCCCCCCCCCCCCCCCC,CHEMBL113644,0.0,0,0,0,0,0,0,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(C)CCC(CCC(C)(C)CCCC(C)(C)C)CC(C)CCCCCCCCCCCCCCCCC
1,S(Sc1nc2c(s1)cccc2)c3nc4c(s3)cccc4,CHEMBL508112,0.0,0,0,0,0,0,0,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,C1CCC2CC(CCC3CC4CCCCC4C3)CC2C1
2,S=C1Sc2c(cccc2)N1,CHEMBL111654,0.0,0,0,0,0,0,0,S=c1[nH]c2ccccc2s1,CC1CC2CCCCC2C1
3,c1(Nc2ccccc2)ccc(NC(C)C)cc1,CHEMBL1449018,0.0,0,0,0,0,0,0,CC(C)Nc1ccc(Nc2ccccc2)cc1,CC(C)CC1CCC(CC2CCCCC2)CC1
4,c12c(nc(nc1NC3CC3)N)n(cn2)[C@H]4C=C[C@@H](CO)C4,CHEMBL1380,0.0,0,0,0,0,0,0,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,CCC1CCC(C2CCC3C(CC4CC4)CC(C)CC23)C1
5,c1(-c2ncc(cc2)C)ncc(cc1)C,CHEMBL2205807,0.0,0,0,0,0,0,0,Cc1ccc(-c2ccc(C)cn2)nc1,CC1CCC(C2CCC(C)CC2)CC1
6,C(N([C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C)Cc3cc4c(cc3)cccc4)Cc5ccc(Cl)cc5)Cc6cnccc6)CO,CHEMBL1252,1.0,1,1,0,0,0,0,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,CCC(CC(C)C(CC1CCCCC1)CC(C)C(CC1CCC(C)CC1)CC(C)C(CC(C)C)CC1CCC2CCCCC2C1)C(C)C(C)C(CC1CCC(C)CC1)C(C)CC(CC(C)C)C(C)CC(CC(C)C)C(C)CC(CCCCCC(C)C)C(C)C1CCCC1C(C)CC(C)C(C)C
7,Fc1c(-c2cc(F)c3c(n(c(n3)C)C(C)C)c2)nc(nc1)Nc4ncc(cc4)CN5CCN(CC)CC5,CHEMBL3301610,0.0,0,0,0,0,0,0,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,CCC1CCC(CC2CCC(CC3CCC(C)C(C4CC(C)C5CC(C)C(C(C)C)C5C4)C3)CC2)CC1
8,C1(c2cnccc2)[C@@]3([C@H]([C@H]4[C@@H]([C@@]5(C(=CC4)C[C@@H](O)CC5)C)CC3)CC=1)C,CHEMBL254328,0.0,0,0,0,0,0,0,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,CC1CCC2(C)C(CCC3C2CCC2(C)C(C4CCCCC4)CCC32)C1
9,C(#CC)C(=O)N1[C@H](c2nc(c3C(=NC=Cn32)N)-c4ccc(C(=O)Nc5ncccc5)cc4)CCC1,CHEMBL3707348,0.0,0,0,0,0,0,0,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,CCCC(C)C1CCCC1C1CC(C2CCC(C(C)CC3CCCCC3)CC2)C2C(C)CCCC12
