DrugBank ID,CHEMBL_21July2021,smiles,withdrawn
DB16022,CHEMBL2107485,N(c1ncccc1)(Cc2cscc2)CCN(C)C,0
DB15982,CHEMBL4594271,C(#N)c1cc([C@H](c2cc(c(F)cc2)NC(=O)c3n(-c4cc(ccc4)CN)nc(C(F)(F)F)c3)NCC5CC5)ccc1,0
DB15916,CHEMBL452630,O(c1ccc(/C=C/C)cc1)C,0
DB15822,CHEMBL4297597,C(=O)(C1(OC)CCC(c2nc(Nc3n[nH]c(c3)C)cc(n2)C)CC1)N[C@H](c4cnc(-n5ncc(F)c5)cc4)C,0
DB15779,CHEMBL1605443,C(=O)(Nc1c(c(Br)c(cc1C)C)C)CN(CC(=O)O)CC(=O)O,0
DB15694,CHEMBL3237547,O=C1N([C@H]2C(F)(F)[C@H](O)[C@H](O2)CO)CC[C@@H](O)N1,0
DB15685,CHEMBL4559134,C(#N)c1c2C(c3cnc(N4CC5N(C(C4)C5)Cc6cnc(OC)cc6)cc3)=CC(OCC(O)(C)C)=Cn2nc1,0
DB15679,CHEMBL1532734,C(=O)(O[Al](OC(=O)C)O)C,0
DB15678,CHEMBL2104130,C(=O)([O-])CCCCCCCCC=C,0
DB15594,CHEMBL4173394,C(/c1c(cc(N(Cc2cc(S(=O)(=O)[O-])ccc2)CC)cc1)C)(\c3ccc(Nc4ccc(OCC)cc4)cc3)=C5\C(=C/C(=[N+](/Cc6cc(S(=O)(=O)[O-])ccc6)\CC)/C=C\5)C,0
DB15576,CHEMBL2251610,C(=O)(OCC)c1c(O)cccc1,0
DB15575,CHEMBL4594284,C(=O)(OC)C/C1/C2=N/C(=C\c3c(c(C(=O)C)c([n-]3)/C=C4\N=C(/C=C5/C(=C(C(=O)NCCS(=O)(=O)O)/C=1/[N-]/5)C)[C@@H]([C@H]\4C)CC)C)/[C@H]([C@@H]2CCC(=O)O)C,0
DB15566,CHEMBL1152,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)CC1)C)O)C,0
DB15534,CHEMBL323668,C(=O)(NC1C2C(c3c(OC)c(OC)c(OC)cc3CC1)=CC=C(C(=O)C=2)O)C,0
DB15480,CHEMBL1593874,C(=O)(Oc1cc(O)ccc1)C,0
DB15477,CHEMBL497001,O=C1c2c(O)cc(cc2C(c3c1c(O)ccc3)[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO)CO,0
DB15467,CHEMBL2104045,C(=O)(OCCOCC)/C=C/c1ccc(OC)cc1,0
DB15465,CHEMBL3137321,C(=O)(OC1=CC[C@@H]2[C@]34c5c(c(OC)ccc5C[C@H]2N(CC3)C)O[C@@H]14)c6ccccc6,0
DB15444,CHEMBL4298128,C(=O)(c1c(nc(-n2nc(OCC(C(F)(F)F)(C)C)cc2)cc1)N3C(C[C@@H](C3)C)(C)C)NS(=O)(=O)c4c(nn(c4)C)C,0
DB15328,CHEMBL2364638,C(=O)(c1cc2c(nc1)C[C@@]3(C(=O)Nc4c3cccn4)C2)N[C@@H]5C(=O)N([C@@H]([C@H](c6ccccc6)C5)C)CC(F)(F)F,0
DB15305,CHEMBL4297528,O=C1N2C(=NC(C3=Nn4c(C(=C3)C)nc(c4)C)=C1)C=CC(N5CC6(NCC5)CC6)=C2,0
DB15233,CHEMBL4204794,[C@](c1cnc(nc1)N2CCN(C3c4n(N=CN=3)cc(-c5cnn(c5)C)c4)CC2)(c6ccc(F)cc6)(N)C,0
DB15102,CHEMBL4297522,O=C1N(c2c(F)c(OC)cc(OC)c2F)Cc3c(c4c(nc3)[nH]c(c4)CN5CCOCC5)N1CC,0
DB15091,CHEMBL3622821,C(=O)(N1C[C@H](c2n3-c4c(N=Cc3nc2)[nH]cc4)[C@H](CC)C1)NCC(F)(F)F,0
DB15035,CHEMBL3936761,C(=O)(N1CCC([C@H]2n3c(c(C(=O)N)c(-c4ccc(Oc5ccccc5)cc4)n3)NCC2)CC1)C=C,0
DB14975,CHEMBL4101807,O=Cc1c(OCc2c(-c3n(ncc3)C(C)C)nccc2)cccc1O,0
DB14914,CHEMBL3545253,[18F]c1ncc(-c2cc3c(c4c(ccnc4)[nH]3)cc2)cc1,0
DB14895,CHEMBL2107826,C(=O)(Nc1ccc(cc1)C[C@H]2N[C@@H]([C@@H](c3ccccc3)O)CC2)[C@H]4N5C(=O)C=CN=C5CC4,0
DB14881,CHEMBL2443262,O(c1c(scc1)CNCC[C@]2(c3ncccc3)CC4(OCC2)CCCC4)C,0
DB14879,CHEMBL3989974,C(/C(=N\OC(C(=O)O)(C)C)/c1nc(sc1)N)(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(C[N+]4(CCNC(=O)c5c(Cl)c(c(O)cc5)O)CCCC4)CS[C@@H]32,0
DB14845,CHEMBL3301607,C(=O)(Nc1nc2n(C(c3ccc(cc3)CN4CCS(=O)(=O)CC4)=CC=C2)n1)C5CC5,0
