,smiles,withdrawn
0,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,1
1,O=C(O)P(=O)(O)O,0
2,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,0
3,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0
4,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0
5,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0
6,Oc1cc(O)cc(O)c1,0
7,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0
8,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0
9,C(COCCOCC1CO1)OCCOCC1CO1,0
10,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0
11,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0
12,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,0
13,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
14,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0
15,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1
16,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,0
17,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
18,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,0
19,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,0
20,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,0
21,COc1c2occc2cc2ccc(=O)oc12,0
22,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,0
23,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,0
24,Cc1ncc([N+](=O)[O-])n1CCO,0
25,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,0
26,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0
27,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,0
28,CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,0
29,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0
30,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12,0
31,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],0
32,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,0
33,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,0
34,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,0
35,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,0
36,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,0
37,CC(C)(C)NC[C@H](O)COc1ccccc1C1CCCC1,0
38,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,0
39,Sc1[nH]cnc2nncc1-2,0
40,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0
41,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,0
42,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,0
43,NC(CO)(CO)CO,0
44,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,0
45,O=[N+]([O-])O[C@@H]1CO[C@@H]2[C@@H](O)CO[C@H]12,0
46,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0
47,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,0
48,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1,0
49,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,0
50,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,0
51,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,0
52,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,0
53,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,0
54,O=C1C(CC[S+]([O-])c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,0
55,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,0
56,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,0
57,Oc1ccc(C(O)C2CCCCN2)cc1O,0
58,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,0
59,CC(C)c1cccc(C(C)C)c1O,0
60,CCN(CCCc1ccccc1)CCCc1ccccc1,0
61,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1,0
62,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,0
63,Nc1nc(O)c2ncn(COC(CO)CO)c2n1,0
64,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,0
65,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,0
66,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,0
67,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,1
68,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,0
69,O=C(O)CC(O)(CC(=O)O)C(=O)O,0
70,CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13,0
71,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0
72,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,0
73,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0
74,CN(C)C(=N)NC(=N)N,0
75,COc1cc(C(=O)OC(COCCC(C)C)CN2CCOCC2)cc(OC)c1OC,1
76,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,0
77,CCOC(=O)c1cncn1[C@H](C)c1ccccc1,0
78,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,0
79,CC(C(=O)O)c1ccc(C(=O)c2ccccc2)s1,0
80,NC(N)=NS(=O)(=O)c1ccc(N)cc1,0
81,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,0
82,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0
83,CC(O)C(=O)O.N,0
84,C=CCl,1
85,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0
86,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,0
87,Cn1nnc2c(C(N)=O)ncn2c1=O,0
88,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,0
89,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21,0
90,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,0
91,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,0
92,CC1NCCOC1c1ccccc1,0
93,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,0
94,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1
95,c1cnc2cc3c(cc2n1)C1CNCC3C1,0
96,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,0
97,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,0
98,CC(C)NCC(O)c1cc(O)cc(O)c1,0
99,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,0
100,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,0
101,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,0
102,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,0
103,COc1ccccc1OCC(O)CO,0
104,NCCCC[C@H](N)C(=O)O,0
105,N#Cc1ccc([C@H]2CCc3cncn32)c(F)c1,0
106,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/C(F)(F)COc1ccccc1,0
107,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0
108,Nc1ccc(C(=O)O)c(O)c1,0
109,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,0
110,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,0
111,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0
112,CC(C)NNC(=O)c1ccncc1,0
113,CC(C)(C)[C@@H]1NC(=O)O[C@@H]2CCC[C@H]2OC/C=C/C(F)(F)c2nc3ccccc3nc2O[C@@H]2C[C@@H](C(=O)N[C@]3(C(=O)NS(=O)(=O)C4(C)CC4)C[C@H]3C(F)F)N(C2)C1=O,0
