,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn
7833,CHEMBL710,57363,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Safe,0
7511,CHEMBL1770248,44814423,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,Safe,0
6030,CHEMBL3989949,11962412,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,Safe,0
10493,CHEMBL844,2435,Brc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,Safe,0
2262,CHEMBL833,5472,Clc1ccccc1CN1CCc2sccc2C1,Clc1ccccc1CN1CCc2sccc2C1,toxic_hema,0
1342,CHEMBL1059,5486971,CC(C)C[C@H](CN)CC(=O)O,CC(C)C[C@H](CN)CC(=O)O,Safe,0
9859,CHEMBL669,2895,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,Safe,0
2027,CHEMBL2104445,72145,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,Safe,0
7671,CHEMBL1201753,5282452,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,Safe,0
1872,CHEMBL1863513,6918670,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,Safe,0
9291,CHEMBL44618,6212,ClC(Cl)Cl,ClC(Cl)Cl,Safe,1
2288,CHEMBL315795,10783,Cc1ncsc1CCCl,Cc1ncsc1CCCl,Safe,0
310,CHEMBL485,5284371,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Safe,0
2378,CHEMBL305906,2683,CCCCCCCCCCCCCCCC[n+]1ccccc1,CCCCCCCCCCCCCCCC[n+]1ccccc1,Safe,0
939,CHEMBL8085,5962,NCCCC[C@H](N)C(=O)O,NCCCC[C@H](N)C(=O)O,Safe,0
1620,CHEMBL1055,2732,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,Safe,0
10634,CHEMBL1460,50599,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,toxic_gastro+toxic_hepa+toxic_immune+toxic_metabolism,0
4264,CHEMBL53463,31703,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,toxic_carcinogenic+toxic_cardio+toxic_hema+toxic_hepa+toxic_vascular,0
5680,CHEMBL4297067,58989134,O=C1C=CC2C(=C1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21,O=C1C=CC2C(=C1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21,Safe,0
6245,CHEMBL471737,132999,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,Safe,0
8141,CHEMBL1237,5362119,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,toxic_teratogen,0
4728,CHEMBL54349,54897,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,Safe,1
5124,CHEMBL9967,4848,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Safe,0
9128,CHEMBL1234886,977,O=O,O=O,Safe,0
1187,CHEMBL4101807,71602803,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,Safe,0
3457,CHEMBL1200453,12620,CCCCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCCCO,Safe,0
5210,CHEMBL465,16078,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Safe,0
8600,CHEMBL445,4543,CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,toxic_psyche,0
5312,CHEMBL1660,135403821,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Safe,0
6449,CHEMBL1372950,34040,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,Safe,0
7498,CHEMBL1113,2170,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,toxic_psyche,0
8632,CHEMBL4297528,118513932,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Safe,0
4247,CHEMBL1411979,4098,CN(C)CCN(Cc1cccs1)c1ccccn1,CN(C)CCN(Cc1cccs1)c1ccccn1,Safe,1
7734,CHEMBL1201295,35330,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,Safe,0
1351,CHEMBL253376,2442,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,Safe,0
1304,CHEMBL3707290,122197536,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,Safe,0
4674,CHEMBL1029,51634,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Safe,0
7609,CHEMBL306823,16539,O=C([O-])C(Cl)Cl.[Na+],O=C([O-])C(Cl)Cl.[Na+],Safe,0
3149,CHEMBL628,4740,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Safe,0
3351,CHEMBL1140,936,NC(=O)c1cccnc1,NC(=O)c1cccnc1,Safe,0
4165,CHEMBL686,4044,Cc1cccc(Nc2ccccc2C(=O)O)c1C,Cc1cccc(Nc2ccccc2C(=O)O)c1C,toxic_cardio+toxic_gastro+toxic_neuro,0
3229,CHEMBL834,4674,NCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCC(O)(P(=O)(O)O)P(=O)(O)O,Safe,0
1302,CHEMBL1257015,4814,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,Safe,0
