,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0
0,C(=O)(OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(OCC[N+](C)(C)C)[O-])CCCCCCCCCCCCCCCCC,CHEMBL113644,0.0,0,0,0,0,0,0
1,S(Sc1nc2c(s1)cccc2)c3nc4c(s3)cccc4,CHEMBL508112,0.0,0,0,0,0,0,0
2,S=C1Sc2c(cccc2)N1,CHEMBL111654,0.0,0,0,0,0,0,0
3,c1(Nc2ccccc2)ccc(NC(C)C)cc1,CHEMBL1449018,0.0,0,0,0,0,0,0
4,c12c(nc(nc1NC3CC3)N)n(cn2)[C@H]4C=C[C@@H](CO)C4,CHEMBL1380,0.0,0,0,0,0,0,0
5,c1(-c2ncc(cc2)C)ncc(cc1)C,CHEMBL2205807,0.0,0,0,0,0,0,0
6,C(N([C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1[C@H](C(=O)N[C@@H](C(=O)N)C)CCC1)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)C)Cc3cc4c(cc3)cccc4)Cc5ccc(Cl)cc5)Cc6cnccc6)CO,CHEMBL1252,1.0,1,1,0,0,0,0
7,Fc1c(-c2cc(F)c3c(n(c(n3)C)C(C)C)c2)nc(nc1)Nc4ncc(cc4)CN5CCN(CC)CC5,CHEMBL3301610,0.0,0,0,0,0,0,0
8,C1(c2cnccc2)[C@@]3([C@H]([C@H]4[C@@H]([C@@]5(C(=CC4)C[C@@H](O)CC5)C)CC3)CC=1)C,CHEMBL254328,0.0,0,0,0,0,0,0
9,C(#CC)C(=O)N1[C@H](c2nc(c3C(=NC=Cn32)N)-c4ccc(C(=O)Nc5ncccc5)cc4)CCC1,CHEMBL3707348,0.0,0,0,0,0,0,0
10,C(=O)(NCCCS(=O)(=O)O)C,CHEMBL1201293,0.0,0,0,0,0,0,0
11,O=C[C@@H]([C@H]([C@H](O[C@H]1O[C@@H]([C@@H](O[C@H]2O[C@@H]([C@@H](N[C@H]3C=C([C@@H](O)[C@H](O)[C@H]3O)CO)[C@H](O)[C@H]2O)C)[C@H](O)[C@H]1O)CO)[C@H](O)CO)O)O,CHEMBL1566,0.0,0,0,0,0,0,0
12,C(=O)(c1c(OCC(O)CNC(C)C)ccc(NC(=O)CCC)c1)C,CHEMBL642,0.0,0,0,0,0,0,0
13,C(=O)(OC1C2CCN(C1)CC2)C,CHEMBL20835,0.0,0,0,0,0,0,0
14,C(=O)(OCC(=O)O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1,CHEMBL93645,0.0,0,0,0,0,0,0
