,name,pubchem_cid,chembl_id,drugbank_id,inchi_key,dataset,smiles,drugbank_withdrawn,chembl_withdrawn
0,ebrotidine,65869,CHEMBL1742471,missing,ZQHFZHPUZXNPMF-UHFFFAOYSA-N,chembl,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,missing,1
1,dihydroxyphosphinecarboxylic acid oxide|foscarnet|foscarnet|j05ad01,3415,CHEMBL666,missing,ZJAOAACCNHFJAH-UHFFFAOYSA-N,both,O=C(O)P(=O)(O)O,0,0
2,ci-825|nsc-218321|nipent|pd 81565|pd-81565|pentostatin|yk-176,439693,CHEMBL1580,missing,FPVKHBSQESCIEP-JQCXWYLXSA-N,both,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,0,0
3,cytotec|misoprostol|mysodelle|sc-29333|topogyne,5282381,CHEMBL606,missing,OJLOPKGSLYJEMD-URPKTTJQSA-N,both,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,0,0
4,benznidazole|nsc-299972|ro 07-1051|ro-07-1051|ro-7-1051,31593,CHEMBL110,missing,CULUWZNBISUWAS-UHFFFAOYSA-N,both,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,0,0
5,a-56268|abbott-56268|biaxin xl|biaxin|biaxin xl pac|clarie xl|clarithromycin|clarithromycin identity|clarosip|clarithromycin extended release|febzin xl|klaricid|klaricid 500|klaricid adult|klaricid i.v.|klaricid paed|klaricid xl|mycifor xl|prevpac|te-031|xetinin xl|zeclar,84029,CHEMBL1741,missing,AGOYDEPGAOXOCK-KCBOHYOISA-N,both,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0,0
6,nsc-1572|phloroglucinol|phloroglucinol|spasfon|spasfon-lyoc,359,CHEMBL473159,missing,QCDYQQDYXPDABM-UHFFFAOYSA-N,chembl,Oc1cc(O)cc(O)c1,missing,0
7,codeine|codeine monohydrate|codeine|ids-nc-005(sect.-2),5284371,CHEMBL485,missing,OROGSEYTTFOCAN-DNJOTXNNSA-N,both,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,0,0
8,colchicine|colcrys|colchicine|gloperba|mitigare|nsc-757,6167,CHEMBL107,missing,IAKHMKGGTNLKSZ-INIZCTEOSA-N,chembl,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,missing,0
9,epodyl|ethoglucid|etoglucid|ici 32865,16058,CHEMBL460287,missing,UMILHIMHKXVDGH-UHFFFAOYSA-N,chembl,C(COCCOCC1CO1)OCCOCC1CO1,missing,0
