,chembl_id,chembl_withdrawn,dataset,drugbank_id,drugbank_withdrawn,inchi_key,name,pubchem_cid,smiles,withdrawn_chembl_+,withdrawn_drugbank_+,withdrawn_label,CHEMBLID,Toxicity type
1854,CHEMBL750,0,both,missing,0,UBQNRHZMVUUOMG-UHFFFAOYSA-N,ad-810|ci-912|pd-110843|zonisamide|zonegran,5734,N=S(=O)(O)Cc1noc2ccccc12,0.0,0.0,0,,Safe
2620,CHEMBL2107826,missing,drugbank,DB14895,0,DJXRIQMCROIRCZ-XOEOCAAJSA-N,Vibegron,44472635.0,O[C@@H]([C@H]1CC[C@@H](CC2=CC=C(NC(=O)[C@@H]3CCC4=NC=CC(=O)N34)C=C2)N1)C1=CC=CC=C1,0.0,0.0,0,,Safe
252,CHEMBL1561,0,both,missing,0,IBAQFPQHRJAVAV-ULAWRXDQSA-N,bay m 1099|bay-m-1099|diastabol|glyset|miglitol,441314,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.0,0.0,0,,Safe
991,CHEMBL1200799,0,both,missing,0,MKPLKVHSHYCHOC-AHTXBMBWSA-N,al-6221|izba|travatan z|travoprost|travatan,5282226,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1,0.0,0.0,0,,Safe
1739,CHEMBL1546,0,both,missing,0,GIKNHHRFLCDOEU-UHFFFAOYSA-N,hydroxyamfetamine|hydroxyamphetamine,3651,CC(N)Cc1ccc(O)cc1,0.0,0.0,0,,Safe
192,CHEMBL1201754,0,both,missing,0,POGQSBRIGCQNEG-UHFFFAOYSA-N,60231/4|banzel|cgp 33101|cgp-33101|e-2080|e2080|inovelon|ruf 331|ruf-331|rufinamide,129228,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,0.0,0.0,0,,Safe
880,CHEMBL3833405,0,chembl,missing,missing,JBVWKTQYMFTKMW-MSQVLRTGSA-N,,127053504,CC(O)CN(C)C.CC(O)CN(C)C.CC(O)CN(C)C.O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.0,0.0,0,,Safe
1489,CHEMBL395110,1,chembl,missing,missing,CBHCDHNUZWWAPP-UHFFFAOYSA-N,pecazine,6075,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,1.0,1.0,1,CHEMBL395110,toxic_neuro
124,CHEMBL24778,0,both,missing,0,PNCPYILNMDWPEY-QGZVFWFLSA-N,kad-3213|kmd-3213|rapaflo|silodosin,5312125,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,0.0,0.0,0,,Safe
1929,CHEMBL444,0,chembl,missing,missing,FTOAOBMCPZCFFF-UHFFFAOYSA-N,barbital|barbitone|diemal|diethylbarbituric acid,2294,CCC1(CC)C(=O)NC(=O)NC1=O,0.0,0.0,0,,Safe
179,CHEMBL1617,0,both,missing,0,NZCRJKRKKOLAOJ-XRCRFVBUSA-N,normix|rifaxidin|rifaximin|rifacol|targaxan|xifaxanta|xifaxan,6436173,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,0.0,0.0,0,,Safe
1961,CHEMBL931,0,both,missing,0,BCQZXOMGPXTTIC-UHFFFAOYSA-N,fluothane|halothane|halothane|rhidialothan,3562,FC(F)(F)C(Cl)Br,0.0,0.0,0,,Safe
2228,CHEMBL398880,missing,drugbank,DB01621,0,JOMHSQGEWSNUKU-UHFFFAOYSA-N,Pipotiazine,62867.0,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,0.0,0.0,0,,Safe
2601,CHEMBL49563,missing,drugbank,DB14476,0,GVJHHUAWPYXKBD-UHFFFAOYSA-N,DL-alpha-Tocopherol,2116.0,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,0.0,0.0,0,,Safe
