,drugbank_id,inchi_key,drug_groups,smiles,synonyms,molecule_type,structure_type,therapeutic_flag,molecule_chembl_id,max_phase,atc_classifications,chirality,prodrug,oral,parenteral,topical,black_box_warning,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,chembl_tox,withdrawn
0,DB00006,OIRCOABEOLEUMC-GEJPAHFPSA-N,approved; investigational,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,Bivalirudin,Protein,BOTH,True,CHEMBL2103749,4,B01AE06,1,0,False,True,False,0,1,,,,,,,,,,,2180.32,,,,,,,2180.32,2178.9858,,,,,,,CHEMBL2103749,missing,missing,INHIBITOR+INHIBITOR,True+True,True+True,True+True,CHEMBL204+CHEMBL204,Safe,0
1,DB00007,GFIJNRVAKGFPGQ-LIJARHBVSA-N,approved; investigational,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,Leuprolide,Protein,MOL,True,CHEMBL1201199,4,L02AE02,1,0,True,True,False,0,1,,,,,,,,,,,1209.42,,,,,,,1209.42,1208.6455,,,,,,,CHEMBL1201199,missing,missing,missing,missing,missing,missing,missing,Safe,0
2,DB00014,BLCLNMBMMGCOAS-URPVMXJPSA-N,approved,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,Goserelin,Protein,MOL,True,CHEMBL1201247,4,L02AE03,1,0,False,True,False,0,1,,,,,,,,,,,1269.43,,,,,,,1269.43,1268.6414,,,,,,,CHEMBL1201247,missing,missing,missing,missing,missing,missing,missing,Safe,0
4,DB00035,NFLWUMRGJYTJIN-PNIOQBSNSA-N,approved,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,Desmopressin,Protein,MOL,True,CHEMBL1429,4,H01BA02,1,0,True,True,True,1,1,,,,,,,,,,,1069.24,,,,,,,1069.24,1068.4270,,,,,,,CHEMBL1429,missing,missing,missing,missing,missing,missing,missing,toxic_metabolism,0
5,DB00050,SBNPWPIBESPSIF-MHWMIDJBSA-N,approved; investigational,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Cetrorelix,Protein,BOTH,True,CHEMBL1200490,4,H01CC02,1,0,False,True,False,0,1,,,,,,,,,,,1431.06,,,,,,,1431.06,1429.6698,,,,,,,CHEMBL1200490,missing,missing,missing,missing,missing,missing,missing,Safe,0
6,DB00067,JLTCWSBVQSZVLT-UHFFFAOYSA-N,approved,NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O.NC1CSSCC(NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,Vasopressin,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
7,DB00080,DOAKLVKFURWEDJ-QCMAZARJSA-N,approved; investigational,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,Daptomycin,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,missing,Safe,0
8,DB00091,PMATZTZNYRCHOR-CGLBZJNRSA-N,approved; investigational; vet_approved,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,Cyclosporine,Protein,BOTH,True,CHEMBL160,4,S01XA18+L04AD01,1,0,True,True,True,1,1,,,,,,,,,,,1202.63,,,,,,,1202.63,1201.8414,,,,,,,CHEMBL160,missing,missing,MODULATOR+MODULATOR,True+True,True+True,True+True,CHEMBL1949+CHEMBL1949,toxic_carcinogenic+toxic_immune+infections+toxic_nephro+toxic_vascular,0
9,DB00104,DEQANNDTNATYII-OULOTJBUSA-N,approved; investigational,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,Octreotide,Protein,MOL,True,CHEMBL1680,4,H01CB02,1,0,False,True,False,0,1,,,,,,,,,,,1019.26,,,,,,,1019.26,1018.4405,,,,,,,CHEMBL1680,missing,missing,missing,missing,missing,missing,missing,Safe,0
10,DB00106,AIWRTTMUVOZGPW-HSPKUQOVSA-N,approved; investigational; withdrawn,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,Abarelix,Protein,BOTH,True,CHEMBL1252,4,L02BX01,1,0,False,True,False,1,0,,,,,,,,,,,1416.09,,,,,,,1416.09,1414.6841,,,,,,,CHEMBL1252,missing,missing,ANTAGONIST+ANTAGONIST,True+True,True+True,True+True,CHEMBL1855+CHEMBL1855,Safe,1
