,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,original_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class
0,CHEMBL1000,DB00341,C(=O)(O)COCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,C(=O)(O)COCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.89695,0,,yes,yes,0,0.0,0.0,AD
1,CHEMBL100116,DB00652,C(=CCN1[C@H]2[C@@H]([C@](c3c(ccc(O)c3)C2)(CC1)C)C)(C)C,C(=CCN1C2C(C(c3c(ccc(O)c3)C2)(CC1)C)C)(C)C,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,285.43219,0,,yes,yes,0,0.0,0.0,AD
2,CHEMBL1002,DB01001,C(NC[C@@H](c1cc(c(O)cc1)CO)O)(C)(C)C,C(NCC(c1cc(c(O)cc1)CO)O)(C)(C)C,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,239.31657,0,,yes,yes,0,0.0,0.0,AD
3,CHEMBL1004,DB00366,C(OCCN(C)C)(c1ncccc1)(c2ccccc2)C,C(OCCN(C)C)(c1ncccc1)(c2ccccc2)C,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,270.37684,0,,yes,yes,0,0.0,1.0,AD
4,CHEMBL1005,DB00899,C(N(c1ccccc1)C2(C(=O)OC)CCN(CCC(=O)OC)CC2)(=O)CC,C(N(c1ccccc1)C2(C(=O)OC)CCN(CCC(=O)OC)CC2)(=O)CC,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,376.45556,0,,yes,yes,0,0.0,0.0,AD
5,CHEMBL1006,DB01143,O=P(SCCNCCCN)(O)O,O=P(SCCNCCCN)(O)O,NCCCNCCSP(=O)(O)O,214.22445,0,,yes,yes,0,0.0,0.0,AD
6,CHEMBL1008,DB01244,N(c1ccccc1)(Cc2ccccc2)CC(N3CCCC3)COCC(C)C,N(c1ccccc1)(Cc2ccccc2)CC(N3CCCC3)COCC(C)C,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,366.55018,0,,yes,yes,1,0.0,0.0,DISCONT
7,CHEMBL1009,DB01235,C(=O)([C@H](Cc1cc(c(O)cc1)O)N)O,C(=O)(C(Cc1cc(c(O)cc1)O)N)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19187,0,,yes,yes,0,0.0,0.0,AD
8,CHEMBL101,DB00812,O=C1N(c2ccccc2)N(C(=O)C1CCCC)c3ccccc3,O=C1N(c2ccccc2)N(C(=O)C1CCCC)c3ccccc3,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,308.3825,0,,yes,yes,0,1.0,0.0,AD
9,CHEMBL1013,DB00447,C(=O)(C1=C(Cl)CC[C@H]2N1C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)N)O,C(=O)(C1=C(Cl)CCC2N1C(=O)C2NC(=O)C(c3ccccc3)N)O,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,349.77582,0,,yes,yes,1,0.0,0.0,DISCONT
10,CHEMBL1014,DB00796,C(=O)(OC(OC(=O)c1c2c(nc(OCC)n2Cc3ccc(-c4c(-c5nnn[nH]5)cccc4)cc3)ccc1)C)OC6CCCCC6,C(=O)(OC(OC(=O)c1c2c(nc(OCC)n2Cc3ccc(-c4c(-c5nnn[nH]5)cccc4)cc3)ccc1)C)OC6CCCCC6,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,610.67388,3,Mw; LP; NO,yes,yes,0,0.0,0.0,AD
11,CHEMBL1015,,N(=N/c1c(cc(-c2cc(c(/N=N/c3c(c4c(c(S(=O)(=O)O)cc(S(=O)(=O)O)c4N)cc3)O)cc2)C)cc1)C)\c5c(c6c(c(S(=O)(=O)O)cc(S(=O)(=O)O)c6N)cc5)O,N(=Nc1c(cc(-c2cc(c(N=Nc3c(c4c(c(S(=O)(=O)O)cc(S(=O)(=O)O)c4N)cc3)O)cc2)C)cc1)C)c5c(c6c(c(S(=O)(=O)O)cc(S(=O)(=O)O)c6N)cc5)O,Cc1cc(-c2ccc(/N=N/c3ccc4c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c4c3O)c(C)c2)ccc1/N=N/c1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)c(N)c2c1O,872.88836,3,Hb; Mw; NO,no,yes,,0.0,0.0,
12,CHEMBL1017,DB00966,C(=O)(c1c(-c2ccc(cc2)Cn3c4c(c(cc(-c5nc6c(n5C)cccc6)c4)C)nc3CCC)cccc1)O,C(=O)(c1c(-c2ccc(cc2)Cn3c4c(c(cc(-c5nc6c(n5C)cccc6)c4)C)nc3CCC)cccc1)O,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,514.631,1,Mw,yes,yes,0,0.0,0.0,AD
13,CHEMBL1018,DB00890,C(/C(/c1ccc(O)cc1)=C/C)(\c2ccc(O)cc2)=C\C,C(C(c1ccc(O)cc1)=CC)(c2ccc(O)cc2)=CC,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,266.34206,0,,yes,yes,0,0.0,0.0,AD
14,CHEMBL1020,DB00500,C(=O)(c1n(c(cc1)CC(=O)O)C)c2ccc(cc2)C,C(=O)(c1n(c(cc1)CC(=O)O)C)c2ccc(cc2)C,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,257.29095,0,,yes,yes,0,0.0,0.0,AD
15,CHEMBL1021,DB06802,C(=O)(c1c(c(ccc1)CC(=O)N)N)c2ccccc2,C(=O)(c1c(c(ccc1)CC(=O)N)N)c2ccccc2,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,254.29028,0,,yes,yes,0,0.0,0.0,AD
16,CHEMBL1023,DB00307,C(=O)(c1ccc(C(c2c(cc3c(C(CCC3(C)C)(C)C)c2)C)=C)cc1)O,C(=O)(c1ccc(C(c2c(cc3c(C(CCC3(C)C)(C)C)c2)C)=C)cc1)O,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,348.48836,1,LP,yes,yes,0,0.0,0.0,AD
17,CHEMBL1024,DB01181,O=P1(N(CCCl)CCCO1)NCCCl,O=P1(N(CCCl)CCCO1)NCCCl,O=P1(NCCCl)OCCCN1CCCl,261.08925,0,,yes,yes,0,0.0,0.0,AD
18,CHEMBL1025,DB00677,O=P(OC(C)C)(OC(C)C)F,O=P(OC(C)C)(OC(C)C)F,CC(C)OP(=O)(F)OC(C)C,184.14858,0,,yes,yes,1,0.0,0.0,DISCONT
19,CHEMBL1027,DB00906,C(c1c(ccs1)C)(c2c(ccs2)C)=CCCN3C[C@H](C(=O)O)CCC3,C(c1c(ccs1)C)(c2c(ccs2)C)=CCCN3CC(C(=O)O)CCC3,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,375.55475,0,,yes,yes,0,0.0,0.0,AD
20,CHEMBL1029,DB00419,N1([C@@H]([C@@H](O)[C@H](O)[C@@H](O)C1)CO)CCCC,N1(C(C(O)C(O)C(O)C1)CO)CCCC,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,219.28267,0,,yes,yes,0,0.0,0.0,AD
21,CHEMBL103,DB00396,C(=O)([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)C,C(=O)(C1C2(C(C3C(C4(C(=CC(=O)CC4)CC3)C)CC2)CC1)C)C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.471,0,,yes,yes,0,0.0,0.0,AD
22,CHEMBL1037,DB00226,C(=NCC1OC2(OC1)CCCCC2)(N)N,C(=NCC1OC2(OC1)CCCCC2)(N)N,N=C(N)NCC1COC2(CCCCC2)O1,213.28133,0,,yes,yes,0,0.0,0.0,AD
23,CHEMBL104,DB00257,C(c1c(Cl)cccc1)(c2ccccc2)(c3ccccc3)n4cncc4,C(c1c(Cl)cccc1)(c2ccccc2)(c3ccccc3)n4cncc4,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,344.84609,1,LP,yes,yes,0,0.0,0.0,AD
24,CHEMBL1040,DB00146,C(O)(CCC[C@H]([C@@H]1[C@@]2([C@H](/C(=C/C=C3\C(=C)CC[C@H](O)C\3)/CCC2)CC1)C)C)(C)C,C(O)(CCCC(C1C2(C(C(=CC=C3C(=C)CCC(O)C3)CCC2)CC1)C)C)(C)C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,400.64918,1,LP,yes,yes,0,0.0,0.0,AD
25,CHEMBL1042,DB00169,C1(/C(=C\C=C2\[C@H]3[C@@]([C@@H]([C@@H](CCCC(C)C)C)CC3)(CCC\2)C)/C[C@@H](O)CC1)=C,C1(C(=C)CCC(O)C1)=CC=C2C3C(C(C(CCCC(C)C)C)CC3)(CCC2)C,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,384.64978,1,LP,yes,yes,0,0.0,0.0,AD
26,CHEMBL1043,DB00250,O=S(=O)(c1ccc(cc1)N)c2ccc(cc2)N,O=S(=O)(c1ccc(cc1)N)c2ccc(cc2)N,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,248.30504,0,,yes,yes,0,0.0,0.0,AD
27,CHEMBL1044,DB09269,C(=O)(O)Cc1ccccc1,C(=O)(O)Cc1ccccc1,OC(=O)CC1=CC=CC=C1,136.15136,0,,yes,yes,0,,0.0,AD
28,CHEMBL1046,DB00513,C(=O)(O)CCCCCN,C(=O)(O)CCCCCN,NCCCCCC(=O)O,131.17571,0,,yes,yes,0,0.0,0.0,AD
29,CHEMBL105,DB00305,C(=O)(OC[C@@H]1C2C(=O)C(=C(C(=O)C=2N3[C@]1(OC)[C@@H]4[C@@H](N4)C3)C)N)N,C(=O)(OCC1C2C(=O)C(=C(C(=O)C=2N3C1(OC)C4C(N4)C3)C)N)N,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,334.33376,0,,yes,yes,0,0.0,0.0,AD
30,CHEMBL1051,DB00654,C(=O)(OC(C)C)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc2ccccc2,C(=O)(OC(C)C)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc2ccccc2,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCc1ccccc1,432.6044,0,,yes,yes,0,0.0,0.0,AD
31,CHEMBL1054,DB01021,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)NC(C(Cl)Cl)N2)c1)N,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)NC(C(Cl)Cl)N2)c1)N,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O,380.65726,0,,yes,yes,0,0.0,0.0,AD
32,CHEMBL1055,DB00310,O=S(=O)(c1c(Cl)ccc(C2(c3c(C(=O)N2)cccc3)O)c1)N,O=S(=O)(c1c(Cl)ccc(C2(c3c(C(=O)N2)cccc3)O)c1)N,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,338.77107,0,,yes,yes,0,0.0,0.0,AD
33,CHEMBL1057,DB00693,O=C1c2c(C3(c4c(Oc5c3ccc(O)c5)cc(O)cc4)O1)cccc2,O=C1c2c(C3(c4c(Oc5c3ccc(O)c5)cc(O)cc4)O1)cccc2,OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1,332.31464,0,,yes,yes,0,,0.0,AD
34,CHEMBL1059,DB00230,C(=O)(O)C[C@H](CC(C)C)CN,C(=O)(O)CC(CC(C)C)CN,CC(C)C[C@H](CN)CC(=O)O,159.22979,0,,yes,yes,0,0.0,0.0,AD
35,CHEMBL106,DB00196,C(c1c(F)cc(F)cc1)(O)(Cn2ncnc2)Cn3ncnc3,C(c1c(F)cc(F)cc1)(O)(Cn2ncnc2)Cn3ncnc3,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.27634,0,,yes,yes,0,0.0,0.0,AD
