,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds,test_train
1251,CHEMBL2111100,DB13615,C(=O)(O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCCNC(=O)[C@@H](NC(=O)CC[C@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@H](O[C@@H]1[C@@H](NC(=O)C)C(O[C@@H]([C@H]1O)CO)O)C)C)C)O)CCCCCCCCCCCCCCC,C(=O)(OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(OCCNC(=O)C(NC(=O)CCC(C(=O)N)NC(=O)C(NC(=O)C(OC1C(NC(=O)C)C(OC(C1O)CO)O)C)C)C)O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,1237.5262300000002,3,Hb; Mw; NO,yes,yes,0,0.0,,AD,0,0,0,0,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)C(C)NC(=O)CCC(NC(=O)C(C)NC(=O)C(C)OC1C(O)C(CO)OC(O)C1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(C)CCC(CCC(C)(C)CCCCC(C)C(C)CC(C)CCC(CC(C)C(C)CC(C)C(C)CC1C(C)C(CC)CC(C)C1CC(C)C)C(C)C)CC(C)CCCCCCCCCCCCCCC,train
1619,CHEMBL41355,DB04953,C(=O)(OCC)Nc1c(cc(NCc2ccc(F)cc2)cc1)N,C(=O)(OCC)Nc1c(cc(NCc2ccc(F)cc2)cc1)N,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,303.33836,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,CCCC(C)CC1CCC(CCC2CCC(C)CC2)CC1C,train
1613,CHEMBL409153,DB11633,C(#N)c1ccc(-c2nc(sc2)[C@@H]([C@](c3c(F)ccc(F)c3)(O)Cn4ncnc4)C)cc1,C(#N)c1ccc(-c2nc(sc2)C(C(c3c(F)ccc(F)c3)(O)Cn4ncnc4)C)cc1,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1cc(F)ccc1F,437.47339000000005,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,CCC1CCC(C2CCC(C(C)C(C)(CC3CCCC3)C3CC(C)CCC3C)C2)CC1,train
1614,CHEMBL4094358,DB12434,C(=O)([C@]1([C@@H]2[C@]([C@H]3[C@@]4(CC([C@@](O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)CO)(C4)CC3)=C)CC2)(CCC1)C)C)O,C(=O)(C1(C2C(C3C4(CC(C(OC5OC(C(O)C(O)C5OC6OC(C(O)C(O)C6O)CO)CO)(C4)CC3)=C)CC2)(CCC1)C)C)O,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13CC(=C)[C@@](C1)(CC[C@@H]23)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O,642.7459,3,Hb; Mw; NO,yes,yes,0,,,AD,0,0,0,0,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,CCC1CC(CC2C(CC34CCC5C(CCC6C(C)(C(C)C)CCCC56C)(CC3C)C4)CC(CC)C(C)C2C)C(C)C(C)C1C,train
1615,CHEMBL41,DB00472,C(F)(F)(F)c1ccc(OC(c2ccccc2)CCNC)cc1,C(F)(F)(F)c1ccc(OC(c2ccccc2)CCNC)cc1,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,309.33346,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CCCCC(CC1CCC(C(C)(C)C)CC1)C1CCCCC1,train
1616,CHEMBL4101807,DB14975,O=Cc1c(OCc2c(-c3n(ncc3)C(C)C)nccc2)cccc1O,O=Cc1c(OCc2c(-c3n(ncc3)C(C)C)nccc2)cccc1O,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,337.38063,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,CCC1C(C)CCCC1CCC1CCCCC1C1CCCC1C(C)C,train
1617,CHEMBL41286,DB11994,C(=O)(c1cc(OC(=O)C)c2C(=O)c3c(OC(=O)C)cccc3C(=O)c2c1)O,C(=O)(c1cc(OC(=O)C)c2C(=O)c3c(OC(=O)C)cccc3C(=O)c2c1)O,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,368.30174,0,,yes,yes,0,0.0,,AD,0,0,0,0,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,CC(C)CC1CCCC2C(C)C3CC(C(C)C)CC(CC(C)C)C3C(C)C12,train
1618,CHEMBL413,DB00877,O=C1C(=O)N2[C@H](C(=O)O[C@H]([C@@H](C[C@H]3C[C@@H](OC)[C@H](O)CC3)C)CC(=O)[C@@H](/C=C(/[C@@H](O)[C@@H](OC)C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C(/[C@@H](OC)C[C@H]4O[C@]1(O)[C@@H](CC4)C)\C)C)C)\C)C)CCCC2,O=C1C(=O)N2C(C(=O)OC(C(CC3CC(OC)C(O)CC3)C)CC(=O)C(C=C(C(O)C(OC)C(=O)C(CC(C=CC=CC=C(C(OC)CC4OC1(O)C(CC4)C)C)C)C)C)C)CCCC2,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.1946300000001,2,Mw; NO,yes,yes,0,0.0,,AD,0,0,0,0,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,CCC1CC(CC(C)C2CC(C)C(C)CC(C)C(C)C(CC)C(C)C(C)CC(C)CCCCCC(C)C(CC)CC3CCC(C)C(C)(C3)C(C)C(C)C3CCCCC3C(C)C2)CCC1C,train
1620,CHEMBL415,DB01242,N(CCCN1c2c(ccc(Cl)c2)CCc3c1cccc3)(C)C,N(CCCN1c2c(ccc(Cl)c2)CCc3c1cccc3)(C)C,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86061,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CC(C)CCCC1C2CCCCC2CCC2CCC(C)CC21,train
1610,CHEMBL4073796,DB00686,O=S(=O)(O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O)CO[C@H]1O[C@H]2[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H](OC2)O)O,O=S(=O)(OC1C(OS(=O)(=O)O)C(O)COC1OC2C(OS(=O)(=O)O)C(OS(=O)(=O)O)C(OC2)O)O,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,602.49786,3,Hb; Mw; NO,yes,yes,0,,,AD,0,0,0,0,O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O,CC1CCC(CC2CCC(C)C(CC(C)(C)C)C2CC(C)(C)C)C(CC(C)(C)C)C1CC(C)(C)C,train
