chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,original_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,standardized_smiles,scaffolds,wd_consensus_1,wd_consensus_2,wd_consensus_3
CHEMBL1000,DB00341,C(=O)(O)COCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,C(=O)(O)COCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,388.89695,0,,yes,yes,0,0,0,AD,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CC(C)CCCCC1CCC(C(C2CCCCC2)C2CCC(C)CC2)CC1,0,0,0
CHEMBL100116,DB00652,C(=CCN1[C@H]2[C@@H]([C@](c3c(ccc(O)c3)C2)(CC1)C)C)(C)C,C(=CCN1C2C(C(c3c(ccc(O)c3)C2)(CC1)C)C)(C)C,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,285.43219,0,,yes,yes,0,0,0,AD,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,CC(C)CCC1CCC2(C)C(C)C1CC1CCC(C)CC12,0,0,0
CHEMBL1002,DB01001,C(NC[C@@H](c1cc(c(O)cc1)CO)O)(C)(C)C,C(NCC(c1cc(c(O)cc1)CO)O)(C)(C)C,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,239.31657,0,,yes,yes,0,0,0,AD,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,CCC1CC(C(C)CCC(C)(C)C)CCC1C,0,0,0
CHEMBL1004,DB00366,C(OCCN(C)C)(c1ncccc1)(c2ccccc2)C,C(OCCN(C)C)(c1ncccc1)(c2ccccc2)C,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,270.37684,0,,yes,yes,0,0,1,AD,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,CC(C)CCCC(C)(C1CCCCC1)C1CCCCC1,1,0,0
CHEMBL1005,DB00899,C(N(c1ccccc1)C2(C(=O)OC)CCN(CCC(=O)OC)CC2)(=O)CC,C(N(c1ccccc1)C2(C(=O)OC)CCN(CCC(=O)OC)CC2)(=O)CC,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,376.45556,0,,yes,yes,0,0,0,AD,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,CCC(C)CCC1CCC(C(C)CC)(C(C(C)CC)C2CCCCC2)CC1,0,0,0
CHEMBL1006,DB01143,O=P(SCCNCCCN)(O)O,O=P(SCCNCCCN)(O)O,NCCCNCCSP(=O)(O)O,214.22445,0,,yes,yes,0,0,0,AD,NCCCNCCSP(=O)(O)O,CCCCCCCCC(C)(C)C,0,0,0
CHEMBL1008,DB01244,N(c1ccccc1)(Cc2ccccc2)CC(N3CCCC3)COCC(C)C,N(c1ccccc1)(Cc2ccccc2)CC(N3CCCC3)COCC(C)C,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,366.55018,0,,yes,yes,1,0,0,DISCONT,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,CC(C)CCCC(CC(CC1CCCCC1)C1CCCCC1)C1CCCC1,0,0,0
CHEMBL1009,DB01235,C(=O)([C@H](Cc1cc(c(O)cc1)O)N)O,C(=O)(C(Cc1cc(c(O)cc1)O)N)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19187,0,,yes,yes,0,0,0,AD,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,CC(C)C(C)CC1CCC(C)C(C)C1,0,0,0
CHEMBL101,DB00812,O=C1N(c2ccccc2)N(C(=O)C1CCCC)c3ccccc3,O=C1N(c2ccccc2)N(C(=O)C1CCCC)c3ccccc3,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,308.3825,0,,yes,yes,0,1,0,AD,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CCCCC1C(C)C(C2CCCCC2)C(C2CCCCC2)C1C,1,0,0
CHEMBL1013,DB00447,C(=O)(C1=C(Cl)CC[C@H]2N1C(=O)[C@H]2NC(=O)[C@@H](c3ccccc3)N)O,C(=O)(C1=C(Cl)CCC2N1C(=O)C2NC(=O)C(c3ccccc3)N)O,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,349.77582,0,,yes,yes,1,0,0,DISCONT,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,CC(C)C1C(C)CCC2C(CC(C)C(C)C3CCCCC3)C(C)C21,0,0,0
