,chembl_id,max_phase,chirality,prodrug,oral,parenteral,topical,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,atc_classifications,black_box_warning,withdrawn_chembl,withdrawn_drugbank,withdrawn_withdrawn,withdrawn_tox,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
257,CHEMBL218166,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,Small molecule,MOL,False,4.11,4.0,4.14,4.51,9.47,7.75,385.47,4.0,5.0,1.0,1.0,29.0,NEUTRAL,385.47,385.179,0.0,0.0,52.48,0.57,N,4.0,CHEMBL218166,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,CYGODHVAJQTCBG-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,CC1CC2CCCC(C3CCC(CC4CCCC(C5CCCCC5)C4)CC3)C2C1
258,CHEMBL1742471,4.0,Achiral Molecule,False,False,False,False,Withdrawn,1998,Hepatotoxicity,Spain,Hepatotoxicity,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,Small molecule,MOL,False,2.45,2.0,1.08,1.79,,8.02,477.44,6.0,8.0,4.0,5.0,26.0,NEUTRAL,477.44,475.9758,0.0,0.0,133.32,0.25,N,9.0,CHEMBL1742471,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,ZQHFZHPUZXNPMF-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,1.0,,,,0,1,0,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,CC(C)CC1CCC(CCCCCCCC(C)(C)C2CCC(C)CC2)C1
261,CHEMBL560592,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,Small molecule,MOL,False,-0.57,1.0,-3.32,-3.26,3.32,8.13,291.31,4.0,7.0,3.0,4.0,21.0,ACID,291.31,291.1219,0.0,0.0,112.73,0.69,N,4.0,CHEMBL560592,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,BIZKIHUJGMSVFD-MNOVXSKESA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,CCC(C)C1CC(CC(C)C2CCCCC2)CC1C(C)C
262,CHEMBL589390,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,Small molecule,MOL,False,3.88,3.0,3.21,3.41,,7.14,319.45,3.0,3.0,0.0,0.0,24.0,NEUTRAL,319.45,319.2048,0.0,0.0,21.06,0.73,N,3.0,CHEMBL589390,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,JNODQFNWMXFMEV-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,CC1CCC(CCC2C3CCC(C)CC3C3CC(C)CCC23)CC1
264,CHEMBL1097615,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,Small molecule,MOL,False,-2.48,1.0,-1.55,-1.55,9.44,,282.25,7.0,8.0,4.0,4.0,20.0,NEUTRAL,282.25,282.0852,0.0,0.0,124.78,0.45,N,2.0,CHEMBL1097615,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,QLOCVMVCRJOTTM-SDNRWEOFSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,CCCC1CC(C2CC(CC)C(C)C2C)C(C)CC1C
276,CHEMBL666,4.0,Achiral Molecule,False,False,True,False,Prescription Only,None,None,None,None,O=C(O)P(=O)(O)O,Small molecule,MOL,True,-0.16,0.0,-7.58,-0.83,-0.1,,126.0,2.0,5.0,3.0,3.0,7.0,ACID,126.0,125.9718,0.0,0.0,94.83,0.42,N,1.0,CHEMBL666,O=C(O)P(=O)(O)O,ZJAOAACCNHFJAH-UHFFFAOYSA-N,toxic_nephro+toxic_neuro,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,O=C(O)P(=O)(O)O,CC(C)C(C)(C)C
280,CHEMBL1580,4.0,Single Stereoisomer,False,False,True,False,Prescription Only,None,None,None,None,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,Small molecule,MOL,True,-1.18,1.0,-2.93,-2.02,13.06,8.33,268.27,8.0,8.0,4.0,4.0,19.0,NEUTRAL,268.27,268.1172,0.0,0.0,112.13,0.54,N,2.0,CHEMBL1580,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,FPVKHBSQESCIEP-JQCXWYLXSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,CCC1CC(C2CCC3C(C)CCCCC32)CC1C
281,CHEMBL606,4.0,Racemic Mixture,True,True,False,False,Prescription Only,None,None,None,None,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,Small molecule,MOL,True,3.95,0.0,3.86,3.86,,,382.54,5.0,5.0,2.0,2.0,27.0,NEUTRAL,382.54,382.2719,0.0,0.0,83.83,0.29,N,13.0,CHEMBL606,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,OJLOPKGSLYJEMD-URPKTTJQSA-N,toxic_teratogen,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,CCCCC(C)(C)CCCC1C(C)CC(C)C1CCCCCCC(C)CC
282,CHEMBL2103839,3.0,Single Stereoisomer,False,False,False,False,Unknown,None,None,None,None,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Small molecule,MOL,False,7.74,0.0,7.25,7.25,9.96,,990.22,14.0,15.0,2.0,2.0,69.0,NEUTRAL,990.22,989.5629,3.0,3.0,201.5,0.1,N,8.0,CHEMBL2103839,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,BUROJSBIWGDYCN-GAUTUEMISA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,0.0,,0,0,0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CCC1CC(CC(C)C2CC(C)C(C)CC(C)C(C)C(CC)C(C)C(C)CC(C)CCCCCC(C)C(CC)CC3CCC(C)C(C)(C3)C(C)C(C)C3CCCCC3C(C)C2)CCC1CC(C)(C)C
298,CHEMBL1620875,3.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,CCN(CC)CCc1nc(-c2ccccc2)no1,Small molecule,MOL,False,2.62,2.0,1.57,3.14,,8.96,245.33,4.0,4.0,0.0,0.0,18.0,BASE,245.33,245.1528,0.0,0.0,42.16,0.78,N,6.0,CHEMBL1620875,CCN(CC)CCc1nc(-c2ccccc2)no1,IDCHQQSVJAAUQQ-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0.0,,,,1,0,0,CCN(CC)CCc1nc(-c2ccccc2)no1,CCC(CC)CCC1CCC(C2CCCCC2)C1
