,chembl_id,smiles
31,CHEMBL1237066,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
43,CHEMBL1200391,NC(CO)(CO)CO
61,CHEMBL2010412,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1
69,CHEMBL1261,O=C(O)CC(O)(CC(=O)O)C(=O)O
83,CHEMBL1200747,CC(O)C(=O)O.N
104,CHEMBL8085,NCCCC[C@H](N)C(=O)O
199,CHEMBL2106975,O=C([O-])O.[K+]
202,CHEMBL1255943,Cl.N[C@@H](CCC(=O)O)C(=O)O
240,CHEMBL446061,OCCN(CCO)CCO
260,CHEMBL1355,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+]
303,CHEMBL1201058,CC(=O)[O-].[K+]
304,CHEMBL1098659,O
305,CHEMBL424,O=C(O)c1ccccc1O
311,CHEMBL3990694,C1CNCCN1.C1CNCCN1.C1CNCCN1.O=C(O)CC(O)(CC(=O)O)C(=O)O.O=C(O)CC(O)(CC(=O)O)C(=O)O
316,CHEMBL3833358,Oc1c(Cl)cc(Cl)c2cccnc12.Oc1c(Cl)ccc2cccnc12.Oc1ccc(Cl)c2cccnc12
321,CHEMBL3545432,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)C(CC(=O)O)(CC(=O)O)O1
346,CHEMBL1200559,CC(O)C(=O)O
369,CHEMBL2105248,O=C([O-])[C@H](O)[C@@H](O)C(=O)O.[K+]
385,CHEMBL1200345,O=C([O-])CCC(=O)O.[Na+]
421,CHEMBL3833406,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5.COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC.COc1ccc2c3c1OC1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
