,atc_code,chembl_id
0,N03AX21,CHEMBL41355
1,J02AC05,CHEMBL409153
2,N06AB03,CHEMBL41
3,M01AX21,CHEMBL41286
4,L04AA10,CHEMBL413
5,S01XA23,CHEMBL413
6,N06AA04,CHEMBL415
7,L02BX02,CHEMBL415606
8,D05BA02,CHEMBL416
9,D05AD02,CHEMBL416
10,M01AH05,CHEMBL416146
11,P01BC02,CHEMBL416956
12,L01DB03,CHEMBL417
13,L01XH04,CHEMBL408513
14,V03AB25,CHEMBL407
15,J01DI04,CHEMBL3989974
16,L01EH03,CHEMBL3989868
17,L01XX59,CHEMBL3989908
18,N03AX25,CHEMBL3989949
19,L01XX62,CHEMBL3989958
20,D06AX14,CHEMBL3990047
21,L01DC01,CHEMBL403664
22,J01CG02,CHEMBL404
23,N05CA03,CHEMBL404422
24,D11AX24,CHEMBL406393
25,D06BA03,CHEMBL419
26,A07EC01,CHEMBL421
27,J01EC02,CHEMBL439
28,C09AA11,CHEMBL431
29,A10BK01,CHEMBL429910
30,L01XX01,CHEMBL43
31,J01MA15,CHEMBL430
32,N07CA02,CHEMBL43064
33,N07CA52,CHEMBL43064
34,N04CX01,CHEMBL431770
35,C01CA02,CHEMBL434
36,R03CB51,CHEMBL434
37,R03AB02,CHEMBL434
38,R03CB01,CHEMBL434
39,C07AB12,CHEMBL434394
40,L04AX06,CHEMBL43452
41,C03AX01,CHEMBL435
42,C03AA03,CHEMBL435
43,S02AA12,CHEMBL437765
44,A07AA13,CHEMBL437765
45,J04AB03,CHEMBL437765
46,D06AX15,CHEMBL437765
47,S01AA16,CHEMBL437765
48,N06BA14,CHEMBL4297620
49,M09AX10,CHEMBL4297528
50,L01EX19,CHEMBL4216467
51,R03BC01,CHEMBL428880
52,R01AC01,CHEMBL428880
53,A07EB01,CHEMBL428880
54,D11AH03,CHEMBL428880
55,R01AC51,CHEMBL428880
56,S01GX01,CHEMBL428880
57,S01GX51,CHEMBL428880
58,N05AB06,CHEMBL422
59,S01BC08,CHEMBL424
60,D01AE12,CHEMBL424
61,A07EC03,CHEMBL425
62,L01AA05,CHEMBL427
63,A10BB09,CHEMBL427216
64,N05CD14,CHEMBL4297526
65,L02BB06,CHEMBL4297185
66,J05AX25,CHEMBL4297503
67,L01XX69,CHEMBL4297516
68,L01EX20,CHEMBL4297522
69,V09IX01,CHEMBL3989523
70,C10AX12,CHEMBL354541
71,L01XX66,CHEMBL3545185
72,L01ED04,CHEMBL3545311
73,L01EX16,CHEMBL3545376
74,C02DB01,CHEMBL35505
75,P01BD01,CHEMBL36
76,P01BD51,CHEMBL36
77,A08AA11,CHEMBL360328
78,P01BE03,CHEMBL361497
79,L04AA44,CHEMBL3622821
80,H05BX04,CHEMBL3545184
81,V09AB03,CHEMBL3989517
82,R05DA06,CHEMBL346331
83,V09IX05,CHEMBL3400972
84,L04AX03,CHEMBL34259
85,L01BA01,CHEMBL34259
86,L01XH02,CHEMBL343448
87,C03XA01,CHEMBL344159
88,C10AD06,CHEMBL345714
89,N02CX05,CHEMBL346977
90,C01AA01,CHEMBL3545057
91,C03CA03,CHEMBL349803
92,C03CA01,CHEMBL35
93,N06AX01,CHEMBL350221
94,N07XX05,CHEMBL354077
95,A07AA06,CHEMBL370143
96,A12AA08,CHEMBL3707206
97,L04AA38,CHEMBL3707247
98,L01EX12,CHEMBL3889654
99,A07EA02,CHEMBL389621
100,S01CB03,CHEMBL389621
101,D07XA01,CHEMBL389621
102,S01BA02,CHEMBL389621
103,D07AA02,CHEMBL389621
104,A01AC03,CHEMBL389621
105,R01AD60,CHEMBL389621
106,C05AA01,CHEMBL389621
107,H02AB09,CHEMBL389621
108,S02BA01,CHEMBL389621
109,N06AX27,CHEMBL395091
110,N01AX14,CHEMBL395091
111,R05CB03,CHEMBL396416
112,D10AD06,CHEMBL3707313
113,N04BD03,CHEMBL396778
114,B01AA07,CHEMBL397420
115,B01AC24,CHEMBL398435
116,D08AE05,CHEMBL398440
117,J01XX09,CHEMBL387675
118,G03BA03,CHEMBL386630
119,A10BB08,CHEMBL383634
120,R03BB08,CHEMBL3833319
121,L01EX15,CHEMBL3813873
122,J04AK05,CHEMBL376488
123,A10BH04,CHEMBL376359
124,J01XC01,CHEMBL374975
125,S01AA13,CHEMBL374975
126,D06AX01,CHEMBL374975
127,D09AA02,CHEMBL374975
128,J05AF11,CHEMBL374731
129,J04AB02,CHEMBL374478
130,S01AA22,CHEMBL373081
131,J01GA01,CHEMBL372795
132,A07AA04,CHEMBL372795
133,A07AA54,CHEMBL372795
134,N01BC01,CHEMBL370805
135,S02DA02,CHEMBL370805
136,S01HA01,CHEMBL370805
137,R02AD03,CHEMBL370805
138,D06BA06,CHEMBL438
139,J01ED07,CHEMBL438
140,N06AX24,CHEMBL439849
141,L01EB04,CHEMBL3353410
142,J01DD12,CHEMBL507674
143,C10AA02,CHEMBL503
144,G04BX13,CHEMBL504
145,M02AX03,CHEMBL504
146,C01EB02,CHEMBL504760
147,R06AB54,CHEMBL505
148,R06AB04,CHEMBL505
149,P01BA03,CHEMBL506
150,J01CR04,CHEMBL506110
151,J01XA03,CHEMBL507870
152,N06DA02,CHEMBL502
153,D08AK06,CHEMBL508338
154,M01AG04,CHEMBL509
155,M02AA18,CHEMBL509
156,N05CM12,CHEMBL509282
157,R06AC01,CHEMBL511
158,D04AA02,CHEMBL511
159,B01AF04,CHEMBL512351
160,L01EX09,CHEMBL502835
161,J05AP05,CHEMBL501849
162,L01AD02,CHEMBL514
163,B01AC26,CHEMBL493982
164,N05BE01,CHEMBL49
165,N06AB05,CHEMBL490
166,R03AC14,CHEMBL49080
167,R03CC13,CHEMBL49080
168,J01DH04,CHEMBL491571
169,N01BB57,CHEMBL492
170,N01BB07,CHEMBL492
171,M01AX05,CHEMBL493287
172,G04BE01,CHEMBL495
173,C01EA01,CHEMBL495
174,J02AX04,CHEMBL499808
175,C07AA03,CHEMBL500
176,J01DI02,CHEMBL501122
177,L01AD01,CHEMBL513
178,D02BA01,CHEMBL542
