,chembl_id,Phase,Smiles,market
0,CHEMBL2105218,0,CCC(=O)OCC(C(=O)O[C@H]1C[C@H]2[C@@H]3O[C@H]3[C@@H](C1)N2C)c1ccccc1,0
1,CHEMBL2103892,0,CO[C@H]1C[C@H](O[C@H]2[C@@H](O)C([C@@]3(O)CC(=O)C(N)=C(C(=O)O)C3=O)O[C@H](COC(C)=O)[C@H]2OC(=O)C(NC(=S)SC[C@H](NC(C)=O)C(=O)O)C(C)SC[C@H](NC(C)=O)C(=O)O)O[C@@H](C)[C@]1(O)[C@@H](C)OC(=O)C(C)C,0
2,CHEMBL4299960,2,O=O.[O-][Cl+]O.[O-][Cl+]O.[O-][Cl+]O.[O-][Cl+]O,0
3,CHEMBL24640,0,CCCCCCCCCCCCCCCCCCO,0
4,CHEMBL218166,3,O=c1[nH]c2cccc(N3CCN(Cc4cccc(-c5ccccc5)c4)CC3)c2o1,0
5,CHEMBL1742471,4,N=C(N)Nc1nc(CSCCN/C=N/S(=O)(=O)c2ccc(Br)cc2)cs1,1
6,CHEMBL577711,1,CCCC(CCC)C(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,0
7,CHEMBL2103990,0,Cn1cnc2c(OCc3ccccc3Cl)nccc21,0
8,CHEMBL560592,3,NCC(=O)N1C[C@H](NC(=O)c2ccccc2)C[C@H]1C(=O)O,0
9,CHEMBL589390,3,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,0
10,CHEMBL2107188,0,Nc1cc(OCC2CC2)c(C(=O)NC2CN3CCC2CC3)cc1Cl,0
11,CHEMBL1097615,3,CC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O,0
12,CHEMBL2106985,0,CCOP(=S)(OCC)Oc1cc(C)nc(N(C)C)n1,0
13,CHEMBL14429,0,CCC(=O)O[C@@]1(c2ccccc2)CCN(C)C[C@@H]1C,0
14,CHEMBL293030,0,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O,0
15,CHEMBL2106077,0,CN(C)CC(O)C(c1ccccc1)c1cccc(Cl)c1,0
16,CHEMBL36565,0,CN(C(=O)CNC(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1Cl,0
17,CHEMBL4297080,0,CN(C)[C@@H]1C(O)=C(C(=O)NCN[C@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,0
18,CHEMBL278703,2,Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H]3CCC[C@@H]32)cc1,0
19,CHEMBL1980715,0,CCCCCCCCCCCCOc1ccc(NC(=N)N)cc1NC(=N)N,0
20,CHEMBL2251727,2,CCN=C=S,0
21,CHEMBL1187646,2,NCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0
22,CHEMBL2074922,0,CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,0
23,CHEMBL666,4,O=C(O)P(=O)(O)O,1
24,CHEMBL2110695,0,CCN(CC)CCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1(C)C,0
25,CHEMBL1628662,0,CC(C)c1cc(C(C)C)c(-c2csc(N(CCN(C)C)Cc3cccnc3)n2)c(C(C)C)c1,0
26,CHEMBL64979,0,O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,0
27,CHEMBL1580,4,OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O,1
28,CHEMBL606,4,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,1
29,CHEMBL2103839,3,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,0
30,CHEMBL279014,2,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,0
31,CHEMBL412309,2,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccc(O)cc1c2[Si](C)(C)C(C)(C)C,0
32,CHEMBL2104178,0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)C[S+]([O-])[C@H]12)c1csc(N)n1,0
33,CHEMBL2111065,0,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,0
34,CHEMBL4225966,1,Cc1c(Br)c(Br)c2c3c1nc(N1CCNCC1)n3CCC2,0
35,CHEMBL3818050,0,NC(=O)c1nc(F)cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c1=O,0
36,CHEMBL2323775,1,Cn1cc(-c2cnc3ccc4ccc(CS(=O)(=O)NCc5ccccn5)cc4c(=O)c3c2)cn1,0
37,CHEMBL76098,0,C#C[C@H](CC(=O)OCC)NC(=O)CCC(=O)Nc1ccc(C(=N)N)cc1,0
38,CHEMBL1437847,0,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,0
39,CHEMBL1914489,2,CC(=O)Nc1cccc2c1c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,0
40,CHEMBL2105833,0,CC(C)CCCC(C)N,0
41,CHEMBL1276663,0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1,0
42,CHEMBL2104078,0,Cc1ccccc1NC(=O)C(C)N1CCCC1,0
43,CHEMBL1620875,3,CCN(CC)CCc1nc(-c2ccccc2)no1,0
44,CHEMBL151803,0,S=C1SCN(Cc2ccccc2)CN1Cc1ccccc1,0
45,CHEMBL272485,0,CCCCOC(=O)c1ccccc1C(=O)OCCCC,0
46,CHEMBL4297419,1,CCCCCCCC(C(=O)c1ccccc1)N1CCCC1,0
47,CHEMBL3621988,3,Nc1cc(F)ccc1NC(=O)c1ccc(CNC(=O)/C=C/c2cccnc2)cc1,0
48,CHEMBL110,4,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,1
49,CHEMBL2104453,0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)c2cccnc2)cc1,0
50,CHEMBL2104662,0,COC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1C#C[C@@H](O)CCC1CCCCC1,0
51,CHEMBL3989818,0,Clc1ccc(C2(Cn3ccnc3)OCC(COc3ccc(-c4ccccc4)cc3)O2)c(Cl)c1,0
52,CHEMBL1741,4,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1
53,CHEMBL473159,4,Oc1cc(O)cc(O)c1,1
54,CHEMBL311350,0,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,0
55,CHEMBL485,4,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,1
56,CHEMBL108111,0,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,0
57,CHEMBL2106861,0,CN(C)CCN(/N=C/c1ccc([N+](=O)[O-])o1)C(N)=O,0
58,CHEMBL2104120,0,O=C(O)c1cscc1Nc1c(Cl)cccc1Cl,0
59,CHEMBL107,4,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,1
60,CHEMBL498416,1,Nc1ccccc1C(=O)C[C@H](N)C(=O)O,0
61,CHEMBL460287,4,C(COCCOCC1CO1)OCCOCC1CO1,1
62,CHEMBL2106992,0,CC(C)(Oc1ccccc1)C(=O)OCCN1CCOCC1,0
63,CHEMBL4279521,1,Cc1nn(-c2cnc(OCC(C)C)c(Cl)c2)c2ccc(C(=O)NS(C)(=O)=O)cc12,0
64,CHEMBL1520,4,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,1
65,CHEMBL288441,4,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1
66,CHEMBL295124,3,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0
67,CHEMBL469449,1,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,0
68,CHEMBL2105603,0,COCCCC/C(=N/OCCN)c1ccc(Cl)cc1,0
69,CHEMBL4302505,2,CC(C)CCNc1ncccc1C(=O)N1CCN(Cc2ccccc2)CC1,0
70,CHEMBL2110994,0,C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1,0
71,CHEMBL3786098,2,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1,0
72,CHEMBL410414,1,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,0
73,CHEMBL2103757,0,CCOP(=O)(OCC)[C@H](NC(=O)[C@@]1(O)[C@H](O)[C@]2(CC)C=CCN3CC[C@@]4(c5cc([C@@]6(C(=O)OC)C[C@H]7CN(CCc8c6[nH]c6ccccc86)C[C@](O)(CC)C7)c(OC)cc5N(C)[C@@H]14)[C@@H]32)C(C)C,0
74,CHEMBL589092,0,O=C(O)Cc1sc(-c2ccccc2)nc1-c1ccc(Cl)cc1,0
75,CHEMBL2106832,0,CCCCCCN(C)CCC[C@@](C#N)(c1cc(OC)c(OC)c(OC)c1)C(C)C,0
76,CHEMBL2104790,0,COc1ccccc1OCC1CNC(=O)O1,0
77,CHEMBL2107457,3,COc1ccc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc1OC,0
78,CHEMBL480,4,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,1
79,CHEMBL1697687,0,N#Cc1ccc(NC(=O)NC(=N)N)cc1Cl,0
80,CHEMBL502,4,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,1
81,CHEMBL152408,0,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1,0
82,CHEMBL1465,4,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,1
83,CHEMBL32800,4,CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,1
84,CHEMBL2110855,0,CCN(CC)CCn1c(=O)oc2ccccc2c1=O,0
85,CHEMBL2029988,1,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,0
86,CHEMBL2095209,4,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,1
87,CHEMBL472561,0,N=c1nc2n(cc1F)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O2,0
88,CHEMBL2105389,0,CC(c1ccccc1)C(C)(C)N,0
89,CHEMBL1152,4,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,1
90,CHEMBL444633,4,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,1
91,CHEMBL261514,0,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,0
92,CHEMBL3185938,0,CN(C)[C@H](Cc1ccccc1)c1ccccc1,0
93,CHEMBL18772,0,c1ccc2nc(N3CCNCC3)ccc2c1,0
94,CHEMBL2110924,0,CNCCCC1(C)CN(c2ccccc2)c2ccccc21,0
95,CHEMBL1182997,1,COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,0
96,CHEMBL2105264,0,O=C1CCCC(=O)C1C(=S)Nc1ccc(Cl)cc1,0
97,CHEMBL1808388,3,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,0
98,CHEMBL42161,2,COCC(O)Cn1ccnc1[N+](=O)[O-],0
99,CHEMBL1621597,4,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,1
100,CHEMBL1650818,4,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C,1
101,CHEMBL2030222,0,COc1ccccc1N1CCN(CC(O)COc2ccc(-c3cc(C#N)c(=O)[nH]c3C)cc2)CC1,0
102,CHEMBL416,4,COc1c2occc2cc2ccc(=O)oc12,1
103,CHEMBL2106136,0,CCCCC1C(=O)NC(=O)N(C2CCCCC2)C1=O,0
104,CHEMBL1270562,0,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3nccs3)cc2)ccc1O,0
105,CHEMBL2104140,0,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccc(C4=NCCCN4)cc3)[C@H]2SC1,0
106,CHEMBL1231700,3,C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0
107,CHEMBL2104687,0,CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1,0
108,CHEMBL1604,4,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,1
109,CHEMBL2106851,0,CN1CC[C@]23c4c5ccc(OC(=O)c6cccnc6)c4O[C@H]2[C@@H](OC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5,0
110,CHEMBL471036,1,c1ccc2cc(COC3CCNCC3)ccc2c1,0
111,CHEMBL1623992,4,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,1
112,CHEMBL2105158,0,COc1cc(C(=O)c2ccc(Cl)cc2)cc(OC)c1OCCN1CCOCC1,0
113,CHEMBL2105325,0,Cc1cc(COc2ccc(Oc3ccc(Cl)cc3)cc2)n(O)c(=O)c1,0
114,CHEMBL137,4,Cc1ncc([N+](=O)[O-])n1CCO,1
115,CHEMBL2408045,2,CNC(=O)CN1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)CC1,0
116,CHEMBL447629,4,O[C@H](CBr)[C@@H](O)[C@H](O)[C@H](O)CBr,1
117,CHEMBL2105131,4,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,1
118,CHEMBL2338329,3,Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,0
119,CHEMBL4594225,0,CC(=C(CCO)SC=CC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0
120,CHEMBL4594266,0,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1cc(F)c(C)c3c1c2[C@@H](NC(=O)COCNC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)CCCCCN1C(=O)CCC1=O)CC3,0
121,CHEMBL4594271,2,N#Cc1cccc(C(NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1,0
122,CHEMBL4594294,2,CNCC1CCCCN1C(=O)Oc1ccc(CNC(=O)CCCC/C=C/C(C)C)cc1OC,0
