chembl_id,BBB permeant,Ghose #violations,DIPT_reliability_Japan,Egan #violations,cytotoxic_reliability_Japan,Pgp substrate,cholestatic_reliability_Japan,GI absorption,cancer_reliability_Japan,Synthetic Accessibility,TPSA,Veber #violations,#H-bond acceptors,PPARg_ago_unnormalized_40_Japan,Bioavailability Score,MLOGP,Muegge #violations,log Kp (cm/s),CYP1A2 inhibitor,#H-bond donors,#Heavy atoms,Lipinski #violations,MR,Fraction Csp3,Leadlikeness #violations,MW,Consensus Log P,CYP2C19 inhibitor,#Rotatable bonds,XLOGP3,CYP2C9 inhibitor,Silicos-IT Log P,QED,autocorr3d44,autocorr3d45,autocorr3d43,getaway100,getaway59,autocorr3d5,avalon990,"bpf_((B,2,0),2,(B,7,0))",avalon348,getaway60,NumHAcceptors,getaway108,getaway95,autocorr3d55,getaway55,topological882,PEOE_VSA1,"btf_((O,0,2),3,(O,0,2))",getaway101,"torsions_((C,4,0),(S,2,0),(C,3,1),(N,3,0))",getaway121,"bpf_((B,2,0),4,(B,6,0))",autocorr3d4,rdf180,avalon212,avalon926,NumLipinskiHBA,getaway192,getaway228,rdf31,avalon415,autocorr3d73,TPSA,maccs68,"bpf_((B,2,0),3,(B,7,0))","torsions_((C,3,1),(C,4,0),(C,3,1),(N,3,0))",getaway81,EState_VSA8,autocorr3d14,topological621,"atom_pairs_((Cl,1,0),3,(*,1,0))",topological944,avalon350,getaway48,topological418,autocorr3d6,"atom_pairs_((N,3,0),1,(N,3,0))",autocorr3d15,maccs91,rdf181,avalon998,"atom_pairs_((O,2,0),1,(*,1,0))",autocorr3d46,autocorr3d34,"atom_pairs_((O,1,1),5,(Br,1,0))",rdf61,"btf_((B,0,2),2,(O,0,0))",rdf150,"torsions_((N,3,0),(N,3,0),(C,3,1),(O,1,1))",topological988,morse92,SMR_VSA1,rdf1,getaway80,autocorr3d56,getaway82,autocorr3d42,getaway61,avalon39,morse156,"bpf_((B,5,0),3,(B,6,0))",morgan591,topological806,rdf154,morgan371,morgan209,topological735,topological316,"torsions_((C,3,1),(N,3,0),(C,3,1),(S,2,0))",NumHeterocycles,morgan59,NumHeteroatoms,getaway89,"bpf_((B,5,0),4,(B,6,0))",topological225,"bpf_((B,2,0),4,(B,7,0))",morgan898,autocorr2d81,morgan673,topological385,getaway62,topological18,getaway98,getaway69,"bpf_((B,2,0),4,(B,2,0))",rdf4,SMR_VSA2,getaway97,getaway102,autocorr3d36,autocorr2d73,PEOE_VSA10,avalon490,"atom_pairs_((C,4,0),2,(*,1,0))","atom_pairs_((*,1,0),4,(*,1,0))",autocorr3d54,NumHBD
CHEMBL1000,1,0,1,0,1,1,1,1,1,3.19,53.01,0,5,0,0.55,2.35,0,-7.47,0,1,27,0,113.73,0.38,2,388.89,2.56,0,8,1.7,0,3.35,0.704,0.246,0.293,0.196,0.142,0.087,0.635,0,0,0,0.116,5,2.52,0.099,0.789,0.094,0,9.85,0,0.165,0,0.595,0,0.546,25,0,0,5,0.064,0.064,16.8,0,0.218,53,0,0,0,0.433,9.85,0.196,1,2,0,0,0.455,0,0.721,0,0.226,1,47.4,0,1,0.296,0.539,0,13.8,0,15.1,0,0,-0.4,47.5,15.5,0.337,0.919,0.426,0.147,0.128,0,-0.475,7,0,0,18.5,0,0,0,0,0,1,1,6,0.357,5,0,0,0,1.16,0,1,0.118,0,0.097,0.99,0,13.7,1.43,0.125,0.153,0.697,7.78,6.56,0,12,36,0.69,1
CHEMBL100116,1,0,1,0,1,0,1,1,1,3.99,23.47,0,2,0,0.55,3.68,0,-5.69,0,1,21,0,93.27,0.58,0,285.42,3.53,0,2,3.31,0,3.83,0.834,0.266,0.245,0.255,0.158,0.13,0.647,1,0,0,0.125,2,3.89,0.079,0.825,0.07,1,5.11,0,0.149,0,0.74,0,0.726,26.8,1,0,2,0.054,0.054,16.2,0,0.278,23.5,0,0,0,0.518,5.11,0.159,1,0,0,0,0.476,0,0.64,0,0.142,0,42,1,1,0.223,0.69,0,15,0,15.7,0,0,-0.48,40.7,15.8,0.498,0.828,0.417,0.188,0.106,1,-0.57,4,0,0,27.7,0,0,1,0,0,1,0,2,0.321,3,1,0,0,1.13,0,1,0.081,1,0.17,1.45,0,22.1,1.43,0.134,0.118,0.607,8.6,5.75,0,20,44,0.942,1
CHEMBL1002,0,0,1,0,1,0,1,1,1,2.3,72.72,0,4,0,0.55,0.95,0,-7.54,0,4,17,0,67.6,0.54,1,239.31,1.22,0,5,0.31,0,1.62,0.639,0.21,0.221,0.205,0.126,0.115,0.61,0,0,1,0.113,4,2.96,0.075,0.795,0.07,0,20.6,0,0.11,0,0.584,0,0.573,33.1,0,0,4,0.047,0.044,11.1,1,0.246,72.7,0,0,0,0.419,15.3,0.177,0,0,0,0,0.296,0,0.621,0,0.181,0,36.5,0,3,0.231,0.57,0,9.54,0,14.9,0,0,-0.089,40,10.4,0.593,0.806,0.347,0.171,0.085,1,-0.114,9,0,0,15.3,0,0,1,0,0,0,0,4,0.187,13,0,0,0,0.758,0,0,0.08,0,0.148,0.838,0,10.9,4.29,0.134,0.107,0.619,5.64,7.16,1,16,45,0.739,4
CHEMBL1004,1,0,1,0,0.498913275,0,1,1,1,3.04,25.36,0,3,0,0.55,1.89,0,-6.2,0,0,20,0,81.59,0.35,0,270.37,2.67,0,6,2.46,0,3.12,0.807,0.263,0.3,0.215,0.185,0.118,0.68,0,0,0,0.146,3,2.48,0.103,0.855,0.088,0,9.64,0,0.204,0,0.73,0,0.603,20.2,0,0,3,0.069,0.069,11.2,0,0.245,25.4,0,0,0,0.532,4.98,0.196,0,0,0,1,0.316,0,0.744,0,0.199,0,34.4,0,0,0.302,0.598,0,9.36,0,12.7,0,0,-0.151,34.9,10.4,0.482,0.937,0.592,0.162,0.157,0,-0.213,13,0,0,15.9,0,0,0,0,0,1,0,3,0.222,15,1,0,0,0.897,0,0,0.142,0,0.12,0.917,0,12.1,0,0.115,0.192,0.709,5.99,5.6,0,7,27,0.761,0
CHEMBL1005,0,0,1,0,1,0,1,1,1,2.82,76.15,0,6,9.58E-05,0.55,1.59,0,-7.26,0,0,27,0,105.84,0.55,2,376.45,2.18,0,10,1.88,0,2.22,0.678,0.242,0.275,0.182,0.166,0.105,0.712,0,0,0,0.145,6,2.81,0.084,0.909,0.074,0,14.4,0,0.176,0,0.761,0,0.551,23,0,0,7,0.059,0.059,17.1,0,0.22,76.2,0,0,0,0.571,9.47,0.219,1,0,0,0,0.589,1,0.756,0,0.217,0,49.3,1,0,0.254,0.563,0,14.4,0,15.6,0,0,-0.367,62.2,15.9,0.455,0.996,0.49,0.126,0.142,0,-0.441,16,0,1,30,0,0,1,1,0,1,0,7,0.513,29,1,0,0,1.17,0,1,0.105,1,0.078,1.48,0,22.8,0,0.077,0.145,0.758,7.76,5.54,0,21,20,0.689,0
CHEMBL1006,0,0,1,0,0.371312415,0,0.35628936,1,0.346115973,3.25,130.69,0,5,0,0.55,-1.26,1,-10.77,0,4,12,0,50.24,1,1,214.22,-1.4,0,7,-4.45,0,-1.35,0.345,0.246,0.26,0.217,0.114,0.085,0.618,0,0,0,0.075,6,1.64,0.131,0.818,0.1,0,20.8,0,0.118,0,0.548,0,0.65,27.8,1,0,5,0.068,0.149,11.3,0,0.257,95.6,0,0,0,0.402,9.79,0.235,0,0,1,0,0.125,0,0.616,0,0.241,1,26.8,0,2,0.25,0.663,0,6.13,0,12.6,0,0,-0.157,32.3,7.1,0.38,0.818,0.389,0.196,0.082,0,-0.2,7,0,0,25.6,0,0,0,0,0,0,0,7,0.133,9,0,0,0,0.469,0,0,0.078,0,0.13,0.553,0,18.9,2.86,0.183,0.108,0.639,4.9,4.24,0,16,17,0.877,4
CHEMBL1008,1,0,1,0,0.456576079,0,1,1,1,3.34,15.71,0,2,0,0.55,3.72,1,-4.77,0,0,27,0,118.99,0.5,3,366.54,4.47,0,10,5.31,0,4.73,0.599,0.181,0.241,0.14,0.08,0.037,0.537,0,0,0,0.071,3,4.04,0.095,0.676,0.083,0,9.64,0,0.145,0,0.346,0,0.407,27.8,0,1,3,0.056,0.056,18.4,0,0.16,15.7,0,0,0,0.275,4.74,0.136,0,0,0,0,0.504,1,0.664,0,0.177,0,50.7,1,0,0.303,0.398,0,15.6,0,19.3,0,1,-0.636,51.3,17.2,0.159,0.824,0.464,0.112,0.126,0,-0.749,5,0,1,36.6,0,0,1,0,0,1,0,3,0.31,10,1,0,0,1.38,0,0,0.181,0,0.055,0.951,0,27.2,0,0.101,0.22,0.643,9.6,0,0,29,61,0.512,0
CHEMBL1009,0,0,1,0,1,0,1,1,1,1.81,103.78,0,5,0,0.55,-2.26,2,-9.45,0,4,14,0,49.55,0.22,1,197.19,-0.85,0,3,-2.74,0,-0.07,0.513,0.251,0.209,0.266,0.139,0.133,0.633,0,0,1,0.13,5,1.4,0.087,0.837,0.088,0,21,0,0.106,0,0.705,0,0.685,29.3,1,1,5,0.052,0.051,6.05,0,0.344,104,0,0,0,0.545,15.3,0.264,0,0,0,0,0.143,1,0.536,0,0.275,1,20.4,0,3,0.142,0.706,0,5.46,0,10.6,0,1,-0.029,31.2,5.85,0.607,0.736,0.379,0.243,0.105,0,-0.07,11,0,0,13.1,0,0,0,0,0,0,0,5,0.088,14,0,0,0,0.479,0,1,0.06,0,0.196,0.377,0,9.32,4.29,0.184,0.061,0.613,3.49,8.84,0,5,12,0.889,4
CHEMBL101,1,0,0.722321238,0,0.42559765,0,0.389340138,1,0.416884435,3.12,40.62,0,2,0,0.55,3.51,0,-5.94,0,0,23,0,97.76,0.26,0,308.37,3.19,1,5,3.16,1,2.89,0.789,0.282,0.331,0.215,0.15,0.102,0.674,0,2,0,0.138,2,2.21,0.106,0.825,0.092,0,0,4,0.187,0,0.608,10,0.548,18.1,0,0,4,0.064,0.064,10.3,0,0.259,40.6,0,6,2,0.474,0,0.276,0,0,0,0,0.395,0,0.763,1,0.283,0,29.1,1,0,0.336,0.566,0,9.63,0,11.8,2,0,0.065,37,9.99,0.376,0.954,0.522,0.167,0.157,0,-0.031,0,0,0,33.1,0,0,0,0,0,1,0,4,0.276,0,1,2,0,0.99,0,0,0.158,0,0.097,0.917,1,25.9,0,0.129,0.206,0.763,6.62,5.89,0,16,20,0.676,0
CHEMBL1013,0,0,1,0,0.557170359,0,0.563904746,1,0.5257478,4.04,112.73,0,5,0,0.55,0.91,0,-9.65,0,3,24,0,89.26,0.31,0,349.77,0.19,0,5,-1.72,0,0.34,0.693,0.235,0.228,0.234,0.128,0.166,0.572,0,0,0,0.113,5,2.13,0.096,0.755,0.094,1,16.1,0,0.112,0,0.437,0,0.576,25.7,0,0,7,0.065,0.065,13.3,0,0.303,113,0,0,1,0.339,5.11,0.31,0,2,1,1,0.526,1,0.532,0,0.251,1,36.8,1,1,0.234,0.629,0,11.9,0,12.8,0,0,-0.151,40.2,12.8,0.479,0.685,0.347,0.199,0.102,0,-0.211,8,0,1,17.9,0,0,1,1,0,2,0,8,0.256,13,1,0,0,0.918,0,1,0.115,1,0.183,1.09,0,13.3,1.43,0.175,0.119,0.558,5.85,20.6,0,12,12,0.751,3
