,indication,chembl_id,max_phase_for_ind,mesh_heading,mesh_id
4,prostate carcinoma,CHEMBL271227,4,Prostatic Neoplasms,D011471
5,diabetes mellitus,CHEMBL1566,4,Diabetes Mellitus,D003920
6,metabolic syndrome,CHEMBL1566,3,Metabolic Syndrome,D024821
7,non-alcoholic fatty liver disease,CHEMBL1566,2,Non-alcoholic Fatty Liver Disease,D065626
8,type II diabetes mellitus,CHEMBL1566,4,"Diabetes Mellitus, Type 2",D003924
9,Fever,CHEMBL112,4,Fever,D005334
10,migraine disorder,CHEMBL112,4,Migraine Disorders,D008881
11,osteoarthritis,CHEMBL112,3,Osteoarthritis,D010003
12,"osteoarthritis, knee",CHEMBL112,3,"Osteoarthritis, Knee",D020370
13,pain,CHEMBL112,4,Pain,D010146
14,glaucoma,CHEMBL20,4,Glaucoma,D005901
16,kidney disease,CHEMBL20,2,Kidney Diseases,D007674
17,psoriasis,CHEMBL1131,4,Psoriasis,D011565
23,acne,CHEMBL1265,4,Acne Vulgaris,D000152
32,eye allergy,CHEMBL1201747,4,Eye Manifestations,D005132
38,gout,CHEMBL1467,4,Gout,D006073
39,leukemia,CHEMBL1467,4,Leukemia,D007938
40,lymphoma,CHEMBL1467,4,Lymphoma,D008223
42,panic disorder,CHEMBL661,4,Panic Disorder,D016584
46,pulmonary arterial hypertension,CHEMBL1111,3,"Hypertension, Pulmonary",D006976
50,cocaine dependence,CHEMBL405,1,Cocaine-Related Disorders,D019970
54,breast carcinoma,CHEMBL1399,4,Breast Neoplasms,D001943
55,pulmonary arterial hypertension,CHEMBL1399,2,"Hypertension, Pulmonary",D006976
56,atrial fibrillation,CHEMBL231779,4,Atrial Fibrillation,D001281
57,atopic eczema,CHEMBL514800,2,"Dermatitis, Atopic",D003876
58,multiple myeloma,CHEMBL1471,3,Multiple Myeloma,D009101
59,non-small cell lung carcinoma,CHEMBL1471,3,"Carcinoma, Non-Small-Cell Lung",D002289
60,post operative nausea and vomiting,CHEMBL1471,4,Postoperative Nausea and Vomiting,D020250
62,alcohol dependence,CHEMBL1112,3,Alcoholism,D000437
63,Alzheimer's disease,CHEMBL1112,3,Alzheimer Disease,D000544
64,attention deficit hyperactivity disorder,CHEMBL1112,2,Attention Deficit Disorder with Hyperactivity,D001289
65,autism,CHEMBL1112,4,Autistic Disorder,D001321
66,bipolar disorder,CHEMBL1112,4,Bipolar Disorder,D001714
67,schizophrenia,CHEMBL1112,4,Schizophrenia,D012559
68,unipolar depression,CHEMBL1112,4,Depressive Disorder,D003866
69,hypersomnia,CHEMBL1201192,3,Disorders of Excessive Somnolence,D006970
70,insomnia,CHEMBL1201192,2,Sleep Initiation and Maintenance Disorders,D007319
71,schizophrenia,CHEMBL1201192,2,Schizophrenia,D012559
75,atrial fibrillation,CHEMBL25,3,Atrial Fibrillation,D001281
76,duodenal ulcer,CHEMBL25,2,Duodenal Ulcer,D004381
77,Fever,CHEMBL25,4,Fever,D005334
78,hypertension,CHEMBL25,3,Hypertension,D006973
79,peripheral arterial disease,CHEMBL25,3,Peripheral Arterial Disease,D058729
80,type II diabetes mellitus,CHEMBL25,3,"Diabetes Mellitus, Type 2",D003924
81,angina pectoris,CHEMBL24,4,Angina Pectoris,D000787
82,hypertension,CHEMBL24,4,Hypertension,D006973
83,myocardial infarction,CHEMBL24,4,Myocardial Infarction,D009203
96,neoplasm,CHEMBL1289926,4,Neoplasms,D009369
97,renal cell carcinoma,CHEMBL1289926,4,"Carcinoma, Renal Cell",D002292
98,acute myeloid leukemia,CHEMBL1489,3,"Leukemia, Myeloid, Acute",D015470
99,myelodysplastic syndrome,CHEMBL1489,4,Myelodysplastic Syndromes,D009190
100,Myasthenia gravis,CHEMBL1542,3,Myasthenia Gravis,D009157
102,multiple sclerosis,CHEMBL701,4,Multiple Sclerosis,D009103
103,asthma,CHEMBL1200500,4,Asthma,D001249
105,atopic eczema,CHEMBL632,2,"Dermatitis, Atopic",D003876
106,eye inflammation,CHEMBL1200538,4,Eye Diseases,D005128
121,non-small cell lung carcinoma,CHEMBL1023,3,"Carcinoma, Non-Small-Cell Lung",D002289
122,prostate adenocarcinoma,CHEMBL409,3,Prostatic Neoplasms,D011471
123,Hypotrichosis simplex,CHEMBL1200963,4,Hypotrichosis,D007039
125,AL amyloidosis,CHEMBL325041,3,"Amyloidosis, Familial",D028226
126,leukemia,CHEMBL325041,2,Leukemia,D007938
127,multiple myeloma,CHEMBL325041,4,Multiple Myeloma,D009101
128,neoplasm,CHEMBL325041,4,Neoplasms,D009369
129,pulmonary arterial hypertension,CHEMBL957,3,"Hypertension, Pulmonary",D006976
130,type II diabetes mellitus,CHEMBL957,3,"Diabetes Mellitus, Type 2",D003924
131,glioblastoma multiforme,CHEMBL288441,2,Glioblastoma,D005909
132,neoplasm,CHEMBL288441,4,Neoplasms,D009369
136,schizophrenia,CHEMBL2105760,4,Schizophrenia,D012559
139,allergic rhinitis,CHEMBL1370,4,"Rhinitis, Allergic, Seasonal",D006255
140,asthma,CHEMBL1370,4,Asthma,D001249
141,chronic obstructive pulmonary disease,CHEMBL1370,4,"Pulmonary Disease, Chronic Obstructive",D029424
142,ulcerative colitis,CHEMBL1370,4,"Colitis, Ulcerative",D003093
143,congestive heart failure,CHEMBL1072,4,Heart Failure,D006333
144,kidney disease,CHEMBL1072,4,Kidney Diseases,D007674
145,nephrotic syndrome,CHEMBL1072,4,Nephrotic Syndrome,D009404
146,hypotension,CHEMBL1098,2,Hypotension,D007022
149,pain,CHEMBL1098,4,Pain,D010146
150,heroin dependence,CHEMBL511142,3,Heroin Dependence,D006556
152,pain,CHEMBL511142,4,Pain,D010146
157,dedifferentiated liposarcoma,CHEMBL1201748,2,Liposarcoma,D008080
158,neoplasm,CHEMBL1201748,4,Neoplasms,D009369
159,prostate carcinoma,CHEMBL1201748,3,Prostatic Neoplasms,D011471
160,small cell lung carcinoma,CHEMBL1201748,2,Small Cell Lung Carcinoma,D055752
161,Parkinson's disease,CHEMBL1201087,4,Parkinson Disease,D010300
162,psoriasis,CHEMBL1200666,4,Psoriasis,D011565
163,basal cell carcinoma,CHEMBL846,2,"Carcinoma, Basal Cell",D002280
164,non-small cell lung carcinoma,CHEMBL846,1,"Carcinoma, Non-Small-Cell Lung",D002289
165,psoriasis,CHEMBL846,4,Psoriasis,D011565
166,systemic lupus erythematosus,CHEMBL846,2,"Lupus Erythematosus, Systemic",D008180
169,hypertension,CHEMBL1014,4,Hypertension,D006973
170,breast carcinoma,CHEMBL1773,4,Breast Neoplasms,D001943
171,cancer,CHEMBL1773,4,Neoplasms,D009369
172,colorectal adenocarcinoma,CHEMBL1773,3,Colorectal Neoplasms,D015179
173,esophageal carcinoma,CHEMBL1773,3,Esophageal Neoplasms,D004938
174,gastric carcinoma,CHEMBL1773,3,Stomach Neoplasms,D013274
175,neoplasm,CHEMBL1773,4,Neoplasms,D009369
176,pancreatic carcinoma,CHEMBL1773,3,Pancreatic Neoplasms,D010190
177,squamous cell carcinoma,CHEMBL1773,3,"Carcinoma, Squamous Cell",D002294
178,stomach neoplasm,CHEMBL1773,3,Stomach Neoplasms,D013274
179,congestive heart failure,CHEMBL1560,4,Heart Failure,D006333
180,heart disease,CHEMBL1560,2,Heart Diseases,D006331
181,hypertension,CHEMBL1560,4,Hypertension,D006973
182,myocardial infarction,CHEMBL1560,4,Myocardial Infarction,D009203
183,epilepsy,CHEMBL108,4,Epilepsy,D004827
184,partial epilepsy,CHEMBL108,4,"Epilepsies, Partial",D004828
185,acute lymphoblastic leukemia,CHEMBL451887,1,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
186,multiple myeloma,CHEMBL451887,4,Multiple Myeloma,D009101
188,astrocytoma,CHEMBL513,4,Astrocytoma,D001254
189,brain neoplasm,CHEMBL513,2,Brain Neoplasms,D001932
190,heart failure,CHEMBL723,4,Heart Failure,D006333
192,hypertension,CHEMBL723,4,Hypertension,D006973
193,pulmonary arterial hypertension,CHEMBL723,2,"Hypertension, Pulmonary",D006976
194,ankylosing spondylitis,CHEMBL118,4,"Spondylitis, Ankylosing",D013167
195,breast carcinoma,CHEMBL118,3,Breast Neoplasms,D001943
196,juvenile idiopathic arthritis,CHEMBL118,4,"Arthritis, Juvenile",D001171
197,osteoarthritis,CHEMBL118,4,Osteoarthritis,D010003
198,"osteoarthritis, knee",CHEMBL118,3,"Osteoarthritis, Knee",D020370
199,pain,CHEMBL118,4,Pain,D010146
200,rheumatoid arthritis,CHEMBL118,4,"Arthritis, Rheumatoid",D001172
211,irritable bowel syndrome,CHEMBL240597,2,Irritable Bowel Syndrome,D043183
212,hypertension,CHEMBL842,4,Hypertension,D006973
213,nephrotic syndrome,CHEMBL842,4,Nephrotic Syndrome,D009404
214,psychosis,CHEMBL71,4,Psychotic Disorders,D011618
215,type II diabetes mellitus,CHEMBL498,4,"Diabetes Mellitus, Type 2",D003924
216,hypertension,CHEMBL1055,4,Hypertension,D006973
217,heart failure,CHEMBL1042,3,Heart Failure,D006333
218,hepatitis C virus infection,CHEMBL1042,3,Hepatitis C,D006526
219,Neurofibromatosis type 1,CHEMBL1042,2,Neurofibromatosis 1,D009456
220,Sickle cell anemia,CHEMBL1042,1,"Anemia, Sickle Cell",D000755
221,systemic lupus erythematosus,CHEMBL1042,2,"Lupus Erythematosus, Systemic",D008180
222,tibia fracture,CHEMBL1042,1,Tibial Fractures,D013978
223,type II diabetes mellitus,CHEMBL1042,3,"Diabetes Mellitus, Type 2",D003924
224,asthma,CHEMBL2040682,4,Asthma,D001249
225,intermittent vascular claudication,CHEMBL799,2,Intermittent Claudication,D007383
226,gastroesophageal reflux disease,CHEMBL30,4,Gastroesophageal Reflux,D005764
228,hypertension,CHEMBL1237132,3,Hypertension,D006973
229,anxiety,CHEMBL70418,4,Anxiety,D001007
230,psoriasis,CHEMBL1159650,4,Psoriasis,D011565
231,leukemia,CHEMBL1750,3,Leukemia,D007938
232,myelodysplastic syndrome,CHEMBL1750,2,Myelodysplastic Syndromes,D009190
233,attention deficit hyperactivity disorder,CHEMBL134,3,Attention Deficit Disorder with Hyperactivity,D001289
234,glaucoma,CHEMBL134,4,Glaucoma,D005901
235,hypertension,CHEMBL134,4,Hypertension,D006973
236,pain,CHEMBL134,3,Pain,D010146
240,schizophrenia,CHEMBL42,4,Schizophrenia,D012559
243,aphthous ulcer,CHEMBL107,2,"Stomatitis, Aphthous",D013281
250,asthma,CHEMBL1650,4,Asthma,D001249
251,eye inflammation,CHEMBL1650,4,Eye Diseases,D005128
252,glioblastoma multiforme,CHEMBL601719,1,Glioblastoma,D005909
253,non-small cell lung carcinoma,CHEMBL601719,4,"Carcinoma, Non-Small-Cell Lung",D002289
254,atopic eczema,CHEMBL160,3,"Dermatitis, Atopic",D003876
255,hepatitis C virus infection,CHEMBL160,2,Hepatitis C,D006526
256,lymphoma,CHEMBL160,3,Lymphoma,D008223
257,Aplastic anemia,CHEMBL160,3,"Anemia, Aplastic",D000741
258,pterygium,CHEMBL160,2,Pterygium,D011625
259,acute lymphoblastic leukemia,CHEMBL803,4,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
260,acute myeloid leukemia,CHEMBL803,4,"Leukemia, Myeloid, Acute",D015470
263,multiple sclerosis,CHEMBL284348,4,Multiple Sclerosis,D009103
270,chronic lymphocytic leukemia,CHEMBL1421,2,"Leukemia, Lymphocytic, Chronic, B-Cell",D015451
271,leukemia,CHEMBL1421,3,Leukemia,D007938
272,multiple myeloma,CHEMBL1421,2,Multiple Myeloma,D009101
273,non-Hodgkins lymphoma,CHEMBL1421,1,"Lymphoma, Non-Hodgkin",D008228
274,non-small cell lung carcinoma,CHEMBL1421,2,"Carcinoma, Non-Small-Cell Lung",D002289
275,pancreatic carcinoma,CHEMBL1421,2,Pancreatic Neoplasms,D010190
276,squamous cell lung carcinoma,CHEMBL1421,2,"Carcinoma, Squamous Cell",D002294
277,acute myeloid leukemia,CHEMBL1201129,3,"Leukemia, Myeloid, Acute",D015470
278,myelodysplastic syndrome,CHEMBL1201129,4,Myelodysplastic Syndromes,D009190
283,post-operative sign or symptom,CHEMBL1200733,1,Postoperative Complications,D011183
284,allergic rhinitis,CHEMBL1172,4,"Rhinitis, Allergic, Seasonal",D006255
285,urticaria,CHEMBL1172,4,Urticaria,D014581
286,unipolar depression,CHEMBL1118,4,Depressive Disorder,D003866
295,eye inflammation,CHEMBL139,4,Eye Diseases,D005128
298,osteoarthritis,CHEMBL139,4,Osteoarthritis,D010003
299,"osteoarthritis, knee",CHEMBL139,3,"Osteoarthritis, Knee",D020370
300,pain,CHEMBL139,3,Pain,D010146
303,rheumatoid arthritis,CHEMBL932,2,"Arthritis, Rheumatoid",D001172
315,psoriasis,CHEMBL1200810,2,Psoriasis,D011565
320,prostate carcinoma,CHEMBL1200969,4,Prostatic Neoplasms,D011471
326,irritable bowel syndrome,CHEMBL2159122,4,Irritable Bowel Syndrome,D043183
329,prostate adenocarcinoma,CHEMBL1082407,4,Prostatic Neoplasms,D011471
330,asthma,CHEMBL679,4,Asthma,D001249
331,cardiomyopathy,CHEMBL1095097,3,Cardiomyopathies,D009202
332,chronic kidney disease,CHEMBL1095097,3,"Renal Insufficiency, Chronic",D051436
333,diabetic nephropathy,CHEMBL1095097,2,Diabetic Nephropathies,D003928
334,heart failure,CHEMBL1095097,4,Heart Failure,D006333
335,hypertension,CHEMBL1095097,4,Hypertension,D006973
345,epilepsy,CHEMBL87992,4,Epilepsy,D004827
346,partial epilepsy,CHEMBL87992,3,"Epilepsies, Partial",D004828
348,breast carcinoma,CHEMBL135,3,Breast Neoplasms,D001943
349,menopause,CHEMBL135,3,Menopause,D008593
350,infertility,CHEMBL1511,3,Infertility,D007246
352,insomnia,CHEMBL1522,4,Sleep Initiation and Maintenance Disorders,D007319
359,epilepsy,CHEMBL696,4,Epilepsy,D004827
360,rheumatic disease,CHEMBL622,4,Rheumatic Diseases,D012216
361,hypertension,CHEMBL681,3,Hypertension,D006973
362,benign prostatic hyperplasia,CHEMBL1531,2,Prostatic Hyperplasia,D011470
363,acute lymphoblastic leukemia,CHEMBL44657,3,Precursor Cell Lymphoblastic Leukemia-Lymphoma,D054198
364,lymphoma,CHEMBL1200645,2,Lymphoma,D008223
365,acute coronary syndrome,CHEMBL1908360,1,Acute Coronary Syndrome,D054058
366,adenoid cystic carcinoma,CHEMBL1908360,2,"Carcinoma, Adenoid Cystic",D003528
367,breast carcinoma,CHEMBL1908360,4,Breast Neoplasms,D001943
368,renal cell carcinoma,CHEMBL1908360,4,"Carcinoma, Renal Cell",D002292
369,colorectal adenocarcinoma,CHEMBL1908360,2,Colorectal Neoplasms,D015179
