,chembl_id,atc_code
0,CHEMBL41355,N03AX21
2,CHEMBL409153,J02AC05
4,CHEMBL41,N06AB03
6,CHEMBL41286,M01AX21
8,CHEMBL413,L04AA10
9,CHEMBL413,S01XA23
12,CHEMBL415,N06AA04
14,CHEMBL415606,L02BX02
16,CHEMBL416,D05AD02
17,CHEMBL416,D05BA02
20,CHEMBL416146,M01AH05
22,CHEMBL416956,P01BC02
23,CHEMBL417,L01DB03
25,CHEMBL408513,L01XH04
27,CHEMBL407,V03AB25
29,CHEMBL3989974,J01DI04
30,CHEMBL3989868,L01EH03
32,CHEMBL3989908,L01XX59
34,CHEMBL3989949,N03AX25
36,CHEMBL3989958,L01XX62
38,CHEMBL3990047,D06AX14
40,CHEMBL403664,L01DC01
41,CHEMBL404,J01CG02
43,CHEMBL404422,N05CA03
45,CHEMBL406393,D11AX24
47,CHEMBL419,D06BA03
49,CHEMBL421,A07EC01
50,CHEMBL439,J01EC02
52,CHEMBL431,C09AA11
54,CHEMBL429910,A10BK01
56,CHEMBL43,L01XX01
58,CHEMBL430,J01MA15
59,CHEMBL43064,N07CA02
61,CHEMBL43064,N07CA52
62,CHEMBL431770,N04CX01
64,CHEMBL433,N03AG01
65,CHEMBL434,C01CA02
66,CHEMBL434,R03AB02
67,CHEMBL434,R03CB01
69,CHEMBL434,R03CB51
72,CHEMBL434394,C07AB12
73,CHEMBL43452,L04AX06
75,CHEMBL435,C03AA03
76,CHEMBL435,C03AX01
78,CHEMBL437765,A07AA13
79,CHEMBL437765,D06AX15
80,CHEMBL437765,J04AB03
81,CHEMBL437765,S01AA16
82,CHEMBL437765,S02AA12
88,CHEMBL4297620,N06BA14
90,CHEMBL4297528,M09AX10
92,CHEMBL4216467,L01EX19
94,CHEMBL428880,A07EB01
95,CHEMBL428880,D11AH03
96,CHEMBL428880,R01AC01
97,CHEMBL428880,R03BC01
98,CHEMBL428880,S01GX01
103,CHEMBL428880,R01AC51
105,CHEMBL428880,S01GX51
106,CHEMBL422,N05AB06
108,CHEMBL424,D01AE12
109,CHEMBL424,S01BC08
112,CHEMBL425,A07EC03
113,CHEMBL427,L01AA05
115,CHEMBL427216,A10BB09
117,CHEMBL4297526,N05CD14
119,CHEMBL4297185,L02BB06
121,CHEMBL4297503,J05AX25
123,CHEMBL4297516,L01XX69
124,CHEMBL4297522,L01EX20
126,CHEMBL3989529,C05BB01
127,CHEMBL3989523,V09IX01
128,CHEMBL354541,C10AX12
130,CHEMBL3545185,L01XX66
132,CHEMBL3545311,L01ED04
134,CHEMBL3545376,L01EX16
136,CHEMBL35505,C02DB01
138,CHEMBL3545110,L01EF02
139,CHEMBL36,P01BD01
141,CHEMBL36,P01BD51
142,CHEMBL360328,A08AA11
143,CHEMBL361497,P01BE03
145,CHEMBL3622821,L04AA44
147,CHEMBL3545184,H05BX04
149,CHEMBL3989517,V09AB03
150,CHEMBL346331,R05DA06
152,CHEMBL3400972,V09IX05
154,CHEMBL34259,L01BA01
