,chembl_id,max_phase,chirality,prodrug,oral,parenteral,topical,availability_type,withdrawn_year,withdrawn_reason,withdrawn_country,withdrawn_class,smiles,molecule_type,structure_type,therapeutic_flag,alogp,aromatic_rings,cx_logd,cx_logp,cx_most_apka,cx_most_bpka,full_mwt,hba,hba_lipinski,hbd,hbd_lipinski,heavy_atoms,molecular_species,mw_freebase,mw_monoisotopic,num_lipinski_ro5_violations,num_ro5_violations,psa,qed_weighted,ro3_pass,rtb,parent_chembl_id,parent_smiles,parent_inchi_key,chembl_tox,action_type,direct_interaction,disease_efficacy,molecular_mechanism,target_chembl_id,atc_classifications,black_box_warning,withdrawn_chembl,withdrawn_drugbank,withdrawn_withdrawn,withdrawn_tox,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
9295,CHEMBL1453317,4.0,Achiral Molecule,False,False,False,False,Unknown,None,None,None,None,CCN(CC)C(=O)c1cccc(C)c1,Small molecule,MOL,True,2.48,1.0,2.5,2.5,,,191.27,1.0,2.0,0.0,0.0,14.0,NEUTRAL,191.27,191.13099999999997,0.0,0.0,20.31,0.72,Y,3.0,CHEMBL1453317,CCN(CC)C(=O)c1cccc(C)c1,MMOXZBCLCQITDF-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0,0,0,,0,0,0,CCN(CC)C(=O)c1cccc(C)c1,CCC(CC)C(C)C1CCCC(C)C1
2722,CHEMBL620,4.0,Racemic Mixture,False,True,False,False,Prescription Only,None,None,None,None,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,Small molecule,MOL,True,2.7,2.0,-1.08,-1.08,11.05,,352.45,3.0,4.0,1.0,1.0,26.0,NEUTRAL,352.45,352.1907,0.0,0.0,46.53,0.68,N,4.0,CHEMBL620,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,HOOSGZJRQIVJSZ-UHFFFAOYSA-N,Safe,missing,missing,missing,missing,missing,,,0,0,0,,0,0,0,C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,CC(CC1CC2(C)CCC1CC2)C(C)(C1CCCCC1)C1CCCCC1
6826,CHEMBL1237122,4.0,Single Stereoisomer,False,False,True,False,Prescription Only,None,None,None,None,CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,Small molecule,MOL,True,3.43,0.0,-0.03,2.89,4.36,,368.51,4.0,5.0,4.0,4.0,26.0,ACID,368.51,368.2563,0.0,0.0,97.99,0.31,N,12.0,CHEMBL1237122,CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,DLJKPYFALUEJCK-IIELGFQLSA-N,Safe,missing,missing,missing,missing,missing,,,0,0,0,,0,0,0,CCCCC[C@](C)(O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,CCCCCC(C)(C)CCC1C(C)CC(C)C1CCCCCCC(C)C
819,CHEMBL1554,4.0,1,0,False,True,False,1,,,,,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,Protein,MOL,True,,,,,,,1255.44,,,,,,,1255.44,1254.6285,,,,,,,CHEMBL1554,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,RJURFGZVJUQBHK-IIXSONLDSA-N,toxic_carcinogenic+toxic_teratogen,INHIBITOR,True,True,True,CHEMBL2311221,L01DA01,0.0,0,0,0,,0,0,0,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,CC(C)C1CC(C)C(CC(C)C2CCC(C)C3CC4C(C)C(C)C(C)C(C(C)CC5C(C)CC(C)C(C(C)C)C(C)C(C)CC(C)C(C)C6CCCC6C(C)C(C(C)C)CC5C)C4CC23)C(C)CC(C)C(C(C)C)C(C)C(C)CC(C)C(C)C2CCCC2C1C
4609,CHEMBL127,4.0,Single Stereoisomer,False,False,True,False,Prescription Only,None,None,None,None,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,Small molecule,MOL,True,-0.31,0.0,-4.36,-4.35,3.28,9.39,383.47,6.0,8.0,3.0,3.0,26.0,ZWITTERION,383.47,383.1515,0.0,0.0,110.18,0.56,N,5.0,CHEMBL127,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,DMJNNHOOLUXYBV-PQTSNVLCSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2354204,,,0,0,0,,0,0,0,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,CC(C)C(C)C1CCC(CC2C(C)C3C(C(C)C)C(C)C3C2C(C)C)C1
6029,CHEMBL3989974,4.0,Single Stereoisomer,False,False,True,False,Prescription Only,None,None,None,None,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,Small molecule,MOL,True,-0.18,2.0,-5.66,-2.93,2.69,3.98,752.23,14.0,17.0,6.0,7.0,50.0,ACID,752.23,751.1497,3.0,3.0,256.9,0.05,N,13.0,CHEMBL3989974,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,DBPPRLRVDVJOCL-FQRUVTKNSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2354204,,,0,0,0,,0,0,0,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(CCNC(=O)c4ccc(O)c(O)c4Cl)CCCC3)CS[C@H]12)c1csc(N)n1)C(=O)O,CC1CCC(C(CCC(C)(C)C(C)C)C(C)CC2C(C)C3C2CCC(CC2(CCCC(C)C4CCC(C)C(C)C4C)CCCC2)C3C(C)C)C1
2316,CHEMBL3,4.0,Single Stereoisomer,False,True,False,True,Over the Counter,None,None,None,None,CN1CCC[C@H]1c1cccnc1,Small molecule,MOL,True,1.85,1.0,-0.04,1.16,,8.58,162.24,2.0,2.0,0.0,0.0,12.0,BASE,162.24,162.1157,0.0,0.0,16.13,0.63,Y,1.0,CHEMBL3,CN1CCC[C@H]1c1cccnc1,SNICXCGAKADSCV-JTQLQIEISA-N,Safe,AGONIST,True,True,True,CHEMBL1907589,,,0,0,0,,0,0,0,CN1CCC[C@H]1c1cccnc1,CC1CCCC1C1CCCCC1
5079,CHEMBL1308,4.0,Achiral Molecule,False,False,True,False,Prescription Only,None,None,None,None,Cc1cn[nH]c1,Small molecule,MOL,True,0.72,1.0,0.79,0.79,,2.63,82.11,1.0,2.0,1.0,1.0,6.0,NEUTRAL,82.11,82.0531,0.0,0.0,28.68,0.49,Y,0.0,CHEMBL1308,Cc1cn[nH]c1,RIKMMFOAQPJVMX-UHFFFAOYSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2363044,,,0,0,0,,0,0,0,Cc1cn[nH]c1,CC1CCCC1
9121,CHEMBL24944,4.0,Achiral Molecule,False,False,False,False,Withdrawn,None,None,United States,None,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,Small molecule,MOL,False,4.93,2.0,3.86,5.07,6.16,,449.92,2.0,3.0,2.0,2.0,19.0,ACID,449.92,446.8105,0.0,0.0,49.33,0.68,N,2.0,CHEMBL24944,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,KVSKGMLNBAPGKH-UHFFFAOYSA-N,Safe,,True,True,True,,,,1,0,0,,1,0,0,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,CC1CCC(CC(C)C2CC(C)CC(C)C2C)CC1
5560,CHEMBL396778,4.0,Single Stereoisomer,False,True,False,False,Prescription Only,None,None,None,None,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,Small molecule,MOL,True,2.37,2.0,1.84,2.48,,7.93,302.35,3.0,4.0,2.0,3.0,22.0,NEUTRAL,302.35,302.1431,0.0,0.0,64.35,0.83,N,7.0,CHEMBL396778,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,NEMGRZFTLSKBAP-LBPRGKRZSA-N,Safe,INHIBITOR,True,True,True,CHEMBL2039,,,0,0,0,,0,0,0,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O,CC1CCCC(CCC2CCC(CCC(C)C(C)C)CC2)C1
