,index,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn,standardized_smiles,scaffolds
1043,5479,CHEMBL1321,4915,CNNCc1ccc(C(=O)NC(C)C)cc1,CNNCc1ccc(C(=O)NC(C)C)cc1,Safe,0,CNNCc1ccc(C(=O)NC(C)C)cc1,CCCCC1CCC(C(C)CC(C)C)CC1
1853,9262,CHEMBL334966,9854012,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,Safe,0,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,CCCCCC1CC(CCCC(C)(C)C)CC2C1CCC2C1CC(CCC(C)(C)CC(C)(C)C(C)(C)C(C)(C)C)C(C)C1C
1613,8078,CHEMBL3039514,71661251,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,Safe,0,COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,CCC(C)CC(C(C)C)C(C)C1CCCC1C1CCC(C2CCC3C(C2)CC(C2CCCCC2)C2C4CCC(C5CCC(C6CCCC6C(C)C(CC(C)CC)C(C)C)C5)CC4CC32)C1
1277,6647,CHEMBL1079604,15459,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,Safe,0,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CC1CCC(CCC2CC(C)CC(C)C2)C1
1728,8574,CHEMBL14370,3022645,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,Safe,0,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,CCCC1CCCCC1CC(C1CCCCC1)C1CCCCC1
378,2186,CHEMBL1201294,13505,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,Safe,0,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CCCC(C)C1(C2CCCCC2)CCC(CCC(CC)(C2CCCCC2)C2CCCCC2)CC1
1558,7849,CHEMBL1909324,40704,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,Safe,0,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,CCC1CC(C)C(CC2(CCCCCC3CCC4CC3C4(C)C)CCCCC2)CC1CC
1055,5536,CHEMBL1439973,5977,CC(C)(O)C(Cl)(Cl)Cl,CC(C)(O)C(Cl)(Cl)Cl,Safe,0,CC(C)(O)C(Cl)(Cl)Cl,CC(C)(C)C(C)(C)C
2065,10216,CHEMBL1987462,2292,CCCCNCC(O)c1ccc(O)cc1,CCCCNCC(O)c1ccc(O)cc1,Safe,0,CCCCNCC(O)c1ccc(O)cc1,CCCCCCC(C)C1CCC(C)CC1
1513,7700,CHEMBL46286,285033,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,Safe,0,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23CCCN2CCc2cc4c(cc2[C@H]13)OCO4,CCC(C)CC(C)(CCCC(C)(C)C)C(C)CC1C(CC)CC23CCCC2CCC2CC4CCCC4CC2C13
1607,8058,CHEMBL1614,28620,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,Safe,0,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@]4(C)[C@H]5C[C@@H](O)[C@]6(C)[C@@H](C7=CC(=O)OC7)CC[C@]6(O)[C@@H]5CC[C@@H]4C3)O[C@@H]2C)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](C)O1,CCC1CC(CC2C(C)CC(CC3C(C)CC(CC4C(C)CC(CC5CCC6(C)C(CCC7C6CC(C)C6(C)C(C8CCC(C)C8)CCC76C)C5)CC4C)CC3C)CC2C)C(C)C(C)C1C
294,1854,CHEMBL2368925,missing,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,Safe,0,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,CC1CC2C3CC(CC(C)C4CCC5CCCCC54)CC2CC1C3
731,3925,CHEMBL1180003,14251,CCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCC[N+](C)(C)C,Safe,0,CCCCCCCCCCCCCC[N+](C)(C)C,CCCCCCCCCCCCCCC(C)(C)C
556,3099,CHEMBL192,5212,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,Safe,0,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,CCCC1CCC(C(C)(C)C2CCC(C)CC2)CC1C1CC(C)C2C(C)CC(CCC)C2C1
1456,7486,CHEMBL1200515,8550,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,Safe,0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,CCC(C)C1C(CC)C(CC(C)C2CC(CC)C(CC)C(CC)C2)CC2CC3CCC4C5CCCCC5CC4C3CC21
1382,7166,CHEMBL260538,130904,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,Safe,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CC(C)CC1(C(C)C)CCC2C3CCC4CC(C)CCC4C3C(C3CCC(C(C)C)CC3)CC21C
919,4800,CHEMBL1741134,5243,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,Safe,0,O=S(=O)(O)Oc1ccc(C(c2ccc(OS(=O)(=O)O)cc2)c2ccccn2)cc1,CC(C)(C)CC1CCC(C(C2CCCCC2)C2CCC(CC(C)(C)C)CC2)CC1
344,2059,CHEMBL22242,54477,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,Safe,1,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,CCC1CCCC1CCC(C)C1C(CC)CCC(C)C1CC
