,index,chembl_id,Phase,Smiles,market,standardized_smiles,scaffolds
5579,5579,CHEMBL2105565,0,Cc1ccc(S(=O)(=O)NC(=O)N[C@@H](C)Cc2ccccc2)cc1,0,Cc1ccc(S(=O)(=O)NC(=O)N[C@@H](C)Cc2ccccc2)cc1,CC1CCC(C(C)(C)CC(C)CC(C)CC2CCCCC2)CC1
9280,9280,CHEMBL4297061,0,CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4[C@H]1[C@]3([C@@H](OC)C[C@H]2O)[C@@H]1C[C@]2(O)[C@@H](OC)[C@H](O)[C@@]4(OC(C)=O)[C@H]1[C@H]2OC(=O)c1ccccc1,0,CCN1C[C@@]2(COC)[C@H]3[C@@H](OC)[C@H]4[C@H]1[C@]3([C@@H](OC)C[C@H]2O)[C@@H]1C[C@]2(O)[C@@H](OC)[C@H](O)[C@@]4(OC(C)=O)[C@H]1[C@H]2OC(=O)c1ccccc1,CCCC12CC(CC)C3C4C(CC)C1C3(C(CC)CC2C)C1CC2(C)C(CC)C(C)C4(CC(C)C)C1C2CC(C)C1CCCCC1
889,889,CHEMBL4297391,2,CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]([C@H](C=O)NC(C)=O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)CO)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,0,CCCCCCCCCCCCCCCC(=O)OC[C@H](COC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]([C@H](C=O)NC(C)=O)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O)[C@H](O)CO)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(C)CCC(CCC(C)C(C)CC(C)CCC(CC(C)C(C)CC(C)C(C)CC(C(CC)CC(C)C)C(CC1CC(CC)C(C)C(C)C1CC(C)C)C(C)CC)C(C)C)CC(C)CCCCCCCCCCCCCCC
9362,9362,CHEMBL3989749,0,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC,0,CCCCCCCCCCCCCCCCCC(=O)OCC(O)COC(=O)CCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCCCC(C)CCC(C)CCC(C)CCCCCCCCCCCCCCCCC
3831,3831,CHEMBL3989407,2,CN1CCC[C@H]1CCNC(=O)c1cn2c3cc4ccccc4cc3oc3c(N4CCC(c5cnccn5)C4)c(F)cc(c1=O)c32,0,CN1CCC[C@H]1CCNC(=O)c1cn2c3c(c(N4CCC(c5cnccn5)C4)c(F)cc3c1=O)Oc1cc3ccccc3cc1-2,CC1CCCC1CCCC(C)C1CC2C3CC4CCCCC4CC3CC3C(C4CCC(C5CCCCC5)C4)C(C)CC(C1C)C23
8360,8360,CHEMBL3989671,0,CO[C@@H]1O[C@H]2O[C@]3(CN4CCCCC4)[C@@H](O)C[C@@H]([C@H]13)[C@H]2C,0,CO[C@@H]1O[C@H]2O[C@]3(CN4CCCCC4)[C@@H](O)C[C@@H]([C@H]13)[C@H]2C,CCC1CC2CC3(CC4CCCCC4)C(C)CC(C2C)C13
1924,1924,CHEMBL3301671,0,O=C(O)CCC/C=C\C[C@@H]1[C@@H](NS(=O)(=O)c2ccccc2)[C@H]2CC[C@@H]1C2,0,O=C(O)CCC/C=C\C[C@@H]1[C@@H](NS(=O)(=O)c2ccccc2)[C@H]2CC[C@@H]1C2,CC(C)CCCCCCC1C2CCC(C2)C1CC(C)(C)C1CCCCC1
8177,8177,CHEMBL1095,4,CCN1C(=O)NC(c2ccccc2)C1=O,1,CCN1C(=O)NC(c2ccccc2)C1=O,CCC1C(C)CC(C2CCCCC2)C1C
2964,2964,CHEMBL553204,3,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,0,COc1ccc(-c2oc3c(CC=C(C)C)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c(=O)c2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)cc1,CCC1CCC(C2CC3C(CCC(C)C)C(CC4CC(CC)C(C)C(C)C4C)CC(C)C3C(C)C2CC2CC(C)C(C)C(C)C2C)CC1
5485,5485,CHEMBL2165191,1,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,0,Cc1cc([C@@H](C)Nc2ccccc2C(=O)O)c2nc(N3CCOCC3)cc(=O)n2c1,CC1CC2C(C)CC(C3CCCCC3)CC2C(C(C)CC2CCCCC2C(C)C)C1
1685,1685,CHEMBL2106468,1,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,0,CCN(CC)C(=O)CNC(=O)c1cc(OC)c(OC)c(OC)c1,CCC(CC)C(C)CCC(C)C1CC(CC)C(CC)C(CC)C1
