chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
CHEMBL1091250,DB11577,O=S(=O)(c1cc2C(=O)/C(=C3/C(=O)c4c(ccc(S(=O)(=O)O)c4)N/3)/Nc2cc1)O,O=S(=O)(c1cc2C(=O)C(=C3C(=O)c4c(ccc(S(=O)(=O)O)c4)N3)Nc2cc1)O,OS(=O)(=O)C1=CC2=C(N\C(C2=O)=C2\NC3=C(C=C(C=C3)S(O)(=O)=O)C2=O)C=C1,422.3939,0,,yes,yes,0,,,AD,0,0,0,0,O=C1C(=C2Nc3ccc(S(=O)(=O)O)cc3C2=O)Nc2ccc(S(=O)(=O)O)cc21,CC1C2CC(C(C)(C)C)CCC2CC1C1CC2CCC(C(C)(C)C)CC2C1C
CHEMBL1601,DB01328,C(=O)(C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@H]3N1C(=O)[C@H]3NC(=O)[C@@H](c4ccccc4)O)O,C(=O)(C1=C(CSc2nnnn2CS(=O)(=O)O)CSC3N1C(=O)C3NC(=O)C(c4ccccc4)O)O,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12,542.57066,2,Mw; NO,yes,yes,0,0,,AD,0,0,0,0,O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12,CC(C)C1C(CCC2CCCC2CC(C)(C)C)CCC2C(CC(C)C(C)C3CCCCC3)C(C)C21
CHEMBL2110774,DB09007,C(OCCN(C)C)(c1ccc(Cl)cc1)(c2ccccc2)C,C(OCCN(C)C)(c1ccc(Cl)cc1)(c2ccccc2)C,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,303.83424,0,,yes,yes,1,0,,DISCONT,0,0,0,0,CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,CC(C)CCCC(C)(C1CCCCC1)C1CCC(C)CC1
CHEMBL385517,DB06335,C(#N)[C@H]1N(C(=O)[C@H](C23CC4(O)CC(C2)CC(C3)C4)N)[C@@H]5[C@H](C1)C5,C(#N)C1N(C(=O)C(C23CC4(O)CC(C2)CC(C3)C4)N)C5C(C1)C5,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,315.41795,0,,yes,yes,0,0,,AD,0,0,0,0,N#CC1CC2CC2N1C(=O)C(N)C12CC3CC(CC(O)(C3)C1)C2,CCC1CC2CC2C1C(C)C(C)C12CC3CC(CC(C)(C3)C1)C2
CHEMBL1201779,DB00895,C(=O)(C(NC(=O)Cc1ccccc1)[C@H]2SC([C@H](C(=O)O)N2)(C)C)NCCCC[C@H](C(=O)O)N,C(=O)(C(NC(=O)Cc1ccccc1)C2SC(C(C(=O)O)N2)(C)C)NCCCCC(C(=O)O)N,[H]N[C@H](CCCCN)C(O)=O.[H]N[C@H](CCCCNC(=O)C(NC(=O)CC1=CC=CC=C1)[C@]1([H])N[C@@H](C(O)=O)C(C)(C)S1)C(O)=O,480.58644,1,Hb,yes,yes,0,0,,AD,0,0,0,0,CC1(C)SC(C(NC(=O)Cc2ccccc2)C(=O)NCCCCC(N)C(=O)O)NC1C(=O)O,CC(CC1CCCCC1)CC(C(C)CCCCCC(C)C(C)C)C1CC(C(C)C)C(C)(C)C1
CHEMBL460026,DB00159,C(=O)(O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,C(=O)(O)CCCC=CCC=CCC=CCC=CCC=CCC,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,302.4599,1,LP,yes,yes,0,,,AD,0,0,0,0,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,CCCCCCCCCCCCCCCCCCCC(C)C
CHEMBL1201117,DB00423,C(=O)(OCC(O)COc1c(OC)cccc1)N,C(=O)(OCC(O)COc1c(OC)cccc1)N,COc1ccccc1OCC(O)COC(N)=O,241.24535,0,,yes,yes,0,0,,AD,0,0,0,0,COc1ccccc1OCC(O)COC(N)=O,CCC1CCCCC1CCC(C)CCC(C)C
CHEMBL1909324,DB09090,O(c1c(OC)cc(c(Br)c1)C[N+]2(CCOCCC3C4C(C(C4)CC3)(C)C)CCOCC2)C,O(c1c(OC)cc(c(Br)c1)C[N+]2(CCOCCC3C4C(C(C4)CC3)(C)C)CCOCC2)C,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,511.52867,1,Mw,yes,yes,0,0,,AD,0,0,0,0,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC,CCC1CC(C)C(CC2(CCCCCC3CCC4CC3C4(C)C)CCCCC2)CC1CC
CHEMBL1096882,,O=P(OC[C@H]1O[C@@H](n2c3c(c(nc(F)n3)N)nc2)[C@@H](O)[C@@H]1O)(O)O,O=P(OCC1OC(n2c3c(c(nc(F)n3)N)nc2)C(O)C1O)(O)O,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O,365.21611,2,Hb; NO,no,yes,,0,,,0,0,0,0,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,CC1CC(C)C2CCC(C3CC(CCC(C)(C)C)C(C)C3C)C2C1
CHEMBL1200656,DB00826,C(=O)(O)[C@H]1[C@H]2O[C@@](O)(C[C@@H]1O)C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O[C@@H](C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@@H]([C@@H]4O)N)C)C2)C,C(=O)(O)C1C2OC(O)(CC1O)CC(O)CC3OC3C=CC(=O)OC(CC=CC=CC=CC=CC(OC4OC(C(O)C(C4O)N)C)C2)C,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,665.73979,3,Hb; Mw; NO,yes,yes,0,0,,AD,0,0,0,0,CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,CC1CCCCCCCCCC(CC2CC(C)C(C)C(C)C2C)CC2CC(C)(CC(C)CC3CC3CCC(C)C1)CC(C)C2C(C)C
CHEMBL4094358,DB12434,C(=O)([C@]1([C@@H]2[C@]([C@H]3[C@@]4(CC([C@@](O[C@@H]5O[C@@H]([C@@H](O)[C@H](O)[C@H]5O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)CO)CO)(C4)CC3)=C)CC2)(CCC1)C)C)O,C(=O)(C1(C2C(C3C4(CC(C(OC5OC(C(O)C(O)C5OC6OC(C(O)C(O)C6O)CO)CO)(C4)CC3)=C)CC2)(CCC1)C)C)O,C[C@@]12CCC[C@](C)([C@H]1CC[C@@]13CC(=C)[C@@](C1)(CC[C@@H]23)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O,642.7459,3,Hb; Mw; NO,yes,yes,0,,,AD,0,0,0,0,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,CCC1CC(CC2C(CC34CCC5C(CCC6C(C)(C(C)C)CCCC56C)(CC3C)C4)CC(CC)C(C)C2C)C(C)C(C)C1C
CHEMBL184412,DB04855,C(=O)(c1c2c(oc1CCCC)ccc(NS(=O)(=O)C)c2)c3ccc(OCCCN(CCCC)CCCC)cc3,C(=O)(c1c2c(oc1CCCC)ccc(NS(=O)(=O)C)c2)c3ccc(OCCCN(CCCC)CCCC)cc3,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,556.76918,1,Mw,yes,yes,0,0,,AD,0,0,0,0,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,CCCCC(CCCC)CCCCC1CCC(C(C)C2C(CCCC)CC3CCC(CC(C)(C)C)CC32)CC1
CHEMBL65543,DB11102,C(=O)([C@@H](NC(=O)C)Cc1ccc(O)cc1)O,C(=O)(C(NC(=O)C)Cc1ccc(O)cc1)O,CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,223.23001,0,,yes,yes,0,,,AD,0,0,0,0,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,CC(C)CC(CC1CCC(C)CC1)C(C)C
CHEMBL94394,DB13346,C(=O)(NO)Cc1ccc(OCCCC)cc1,C(=O)(NO)Cc1ccc(OCCCC)cc1,CCCCOc1ccc(CC(=O)NO)cc1,223.27359,0,,yes,yes,1,0,1,WD,2,1,1,0,CCCCOc1ccc(CC(=O)NO)cc1,CCCCCC1CCC(CC(C)CC)CC1
CHEMBL608533,DB06595,C(N([C@H]1[C@@H](OC)[C@]2(n3c4c(c5c3cccc5)c6c(c7c4n(c8c7cccc8)[C@H](O2)C1)C(=O)NC6)C)C)(=O)c9ccccc9,C(N(C1C(OC)C2(n3c4c(c5c3cccc5)c6c(c7c4n(c8c7cccc8)C(O2)C1)C(=O)NC6)C)C)(=O)c9ccccc9,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,570.652,1,Mw,yes,yes,0,0,,AD,0,0,0,0,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CCC1C(C(C)C(C)C2CCCCC2)CC2CC1(C)C1C3CCCCC3C3C4CCC(C)C4C4C5CCCCC5C2C4C31
CHEMBL142703,DB04876,C(#N)[C@H]1N(C(=O)CNC23CC4(O)CC(C2)CC(C3)C4)CCC1,C(#N)C1N(C(=O)CNC23CC4(O)CC(C2)CC(C3)C4)CCC1,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,303.40685,0,,yes,yes,0,0,,AD,0,0,0,0,N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,CCC1CCCC1C(C)CCC12CC3CC(CC(C)(C3)C1)C2
CHEMBL1009,DB01235,C(=O)([C@H](Cc1cc(c(O)cc1)O)N)O,C(=O)(C(Cc1cc(c(O)cc1)O)N)O,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.19187,0,,yes,yes,0,0,,AD,0,0,0,0,NC(Cc1ccc(O)c(O)c1)C(=O)O,CC(C)C(C)CC1CCC(C)C(C)C1
